Title,Artist,Rank,Last Week,Peak Positon,Weeks on charts,Date
Low,SZA,59,62,24,5,2023-01-15
Efecto,Bad Bunny,60,47,7,36,2023-01-15
Perfect,Ed Sheeran,61,58,30,123,2023-01-15
Romantic Homicide,d4vd,62,68,35,19,2023-01-15
No Se Va,Grupo Frontera,63,60,31,16,2023-01-15
Shut Up My Moms Calling,Hotel Ugly,64,93,64,6,2023-01-15
Feliz Cumpleanos Ferxxo,Feid,65,67,61,19,2023-01-15
Bad Habits,Ed Sheeran,66,54,1,81,2023-01-15
10:35,Tiesto Featuring Tate McRae,67,73,67,7,2023-01-15
Snooze,SZA,68,94,36,5,2023-01-15
Subtitle,Official HIGE DANdism,69,57,29,13,2023-01-15
Leao,Marilia Mendonca,70,-,70,1,2023-01-15
I Wanna Be Yours,Arctic Monkeys,71,78,71,19,2023-01-15
Lokera,"Rauw Alejandro, Lyanno & Brray",72,66,55,22,2023-01-15
Marisola,Cris Mj Featuring Standly,73,80,73,4,2023-01-15
Lavender Haze,Taylor Swift,74,77,2,12,2023-01-15
Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X,75,76,21,16,2023-01-15
Glimpse Of Us,Joji,76,75,2,31,2023-01-15
Blind,SZA,77,74,19,5,2023-01-15
Rock And A Hard Place,Bailey Zimmerman,78,84,59,29,2023-01-15
Sunroof,Nicky Youre & dazy,79,71,26,34,2023-01-15
Provenza,Karol G,80,70,6,38,2023-01-15
Unstoppable,Sia,81,82,81,48,2023-01-15
Moscow Mule,Bad Bunny,82,64,2,36,2023-01-15
Yandel 150,Yandel & Feid,83,-,83,1,2023-01-15
Monotonia,Shakira + Ozuna,84,83,18,12,2023-01-15
The Color Violet,Tory Lanez,85,122,85,2,2023-01-15
Jimmy Cooks,Drake Featuring 21 Savage,86,81,3,30,2023-01-15
How Do I Say Goodbye,Dean Lewis,87,102,87,15,2023-01-15
Easy On Me,Adele,88,85,1,66,2023-01-15
Wait For U,Future Featuring Drake & Tems,89,98,2,37,2023-01-15
Neverita,Bad Bunny,90,61,16,36,2023-01-15
Someone You Loved,Lewis Capaldi,91,104,24,123,2023-01-15
About Damn Time,Lizzo,92,52,6,39,2023-01-15
Shut Down,BLACKPINK,93,95,1,17,2023-01-15
Hotel Lobby (Unc And Phew),Quavo & Takeoff,94,99,77,16,2023-01-15
Baby Shark,Pinkfong,95,87,38,122,2023-01-15
Enemy,Imagine Dragons X JID,96,86,3,63,2023-01-15
Believer,Imagine Dragons,97,96,52,123,2023-01-15
Shape Of You,Ed Sheeran,98,90,55,123,2023-01-15
I Like You (A Happier Song),Post Malone Featuring Doja Cat,99,97,7,32,2023-01-15
Que Agonia,Yuridia & Angela Aguilar,100,108,100,6,2023-01-15
Metamorphosis,INTERWORLD,101,125,101,4,2023-01-15
You Proof,Morgan Wallen,102,101,22,35,2023-01-15
Lovely,Billie Eilish & Khalid,103,137,70,123,2023-01-15
Without Me,Eminem,104,109,39,66,2023-01-15
Late Night Talking,Harry Styles,105,100,2,34,2023-01-15
Too Many Nights,Metro Boomin Featuring Don Toliver & Future,106,105,23,6,2023-01-15
Shallow,Lady Gaga & Bradley Cooper,107,115,59,120,2023-01-15
Dandelions,Ruth B.,108,112,51,52,2023-01-15
Viva La Vida,Coldplay,109,107,107,21,2023-01-15
Yellow,Coldplay,110,114,68,92,2023-01-15
Pointless,Lewis Capaldi,111,-,111,1,2023-01-15
Pink Venom,BLACKPINK,112,110,1,21,2023-01-15
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,113,117,41,123,2023-01-15
Riptide,Vance Joy,114,138,114,70,2023-01-15
AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",115,-,115,1,2023-01-15
Super Freaky Girl,Nicki Minaj,116,92,5,22,2023-01-15
Pepas,Farruko,117,72,7,78,2023-01-15
Gangsta's Paradise,Coolio Featuring L.V.,118,88,21,78,2023-01-15
Cairo,Karol G & Ovy On The Drums,119,129,89,8,2023-01-15
Summertime Sadness,Lana Del Rey vs. Cedric Gervais,120,144,89,23,2023-01-15
Love Language,SZA,121,123,26,5,2023-01-15
No Role Modelz,J. Cole,122,146,97,79,2023-01-15
Maan Meri Jaan,King,123,121,121,2,2023-01-15
Punto G,Quevedo,124,158,124,2,2023-01-15
Dream On,Aerosmith,125,118,110,10,2023-01-15
Hold Me Closer,Elton John & Britney Spears,126,103,6,18,2023-01-15
When I Was Your Man,Bruno Mars,127,160,127,16,2023-01-15
Shinunoga E-Wa,Fujii Kaze,128,131,118,14,2023-01-15
Ferrari,James Hype & Miggy Dela Rosa,129,91,25,27,2023-01-15
Good Days,SZA,130,143,7,33,2023-01-15
Spit In My Face!,ThxSoMch,131,180,131,2,2023-01-15
Running Up That Hill (A Deal With God),Kate Bush,132,89,1,32,2023-01-15
Happier Than Ever,Billie Eilish,133,148,6,75,2023-01-15
Take Me To Church,Hozier,134,153,123,94,2023-01-15
Attention,NewJeans,135,193,54,12,2023-01-15
505,Arctic Monkeys,136,162,94,44,2023-01-15
Watermelon Sugar,Harry Styles,137,116,9,119,2023-01-15
Punto 40,Rauw Alejandro & Baby Rasta,138,111,72,14,2023-01-15
The Hills,The Weeknd,139,154,44,49,2023-01-15
abcdefu,GAYLE,140,120,1,58,2023-01-15
Counting Stars,OneRepublic,141,150,96,94,2023-01-15
Do I Wanna Know?,Arctic Monkeys,142,195,119,30,2023-01-15
Midnight Rain,Taylor Swift,143,132,5,11,2023-01-15
Call Out My Name,The Weeknd,144,161,97,27,2023-01-15
Niagara Falls (Foot Or 2),"Metro Boomin, Travis Scott & 21 Savage",145,147,21,6,2023-01-15
Gatita,Bellakath,146,113,113,4,2023-01-15
Industry Baby,Lil Nas X & Jack Harlow,147,130,2,76,2023-01-15
Thank God,Kane Brown With Katelyn Brown,148,127,62,13,2023-01-15
Players,Coi Leray,149,-,149,1,2023-01-15
I'm Not The Only One,Sam Smith,150,191,94,17,2023-01-15
The Real Slim Shady,Eminem,151,181,59,50,2023-01-15
Bombonzinho,Israel & Rodolffo & Ana Castela,152,119,119,3,2023-01-15
Sweet Child O' Mine,Guns N' Roses,153,149,57,88,2023-01-15
Bejeweled,Taylor Swift,154,128,8,11,2023-01-15
Dreamers (Music From The FIFA World Cup Qatar 2022),Jung Kook,155,106,9,8,2023-01-15
Dance Monkey,Tones And I,156,126,16,118,2023-01-15
TV,Billie Eilish,157,-,25,5,2023-01-15
I Was Never There,The Weeknd Featuring Gesaffelstein,158,188,119,21,2023-01-15
The Kind Of Love We Make,Luke Combs,159,168,38,26,2023-01-15
Everybody Wants To Rule The World,Tears For Fears,160,175,108,24,2023-01-15
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,161,135,135,14,2023-01-15
Circles,Post Malone,162,179,49,119,2023-01-15
Murder In My Mind,Kordhell,163,189,113,18,2023-01-15
Antidepresan,Mert Demir & Mabel Matiz,164,124,97,6,2023-01-15
"Going, Going, Gone",Luke Combs,165,163,163,2,2023-01-15
Smells Like Teen Spirit,Nirvana,166,183,92,98,2023-01-15
Lose Yourself,Eminem,167,-,25,44,2023-01-15
Don't Start Now,Dua Lipa,168,151,30,115,2023-01-15
Rumble,"Skrillex, Fred again.. & Flowdan",169,-,169,1,2023-01-15
Besos Moja2,Wisin & Yandel + Rosalia,170,159,102,13,2023-01-15
Chorrito Pa Las Animas,Feid,171,-,171,1,2023-01-15
Vegas,Doja Cat,172,134,28,29,2023-01-15
Every Breath You Take,The Police,173,165,107,36,2023-01-15
Waka Waka (This Time For Africa),Shakira Featuring Freshlyground,174,140,87,8,2023-01-15
Left And Right,Charlie Puth Featuring Jung Kook,175,178,5,26,2023-01-15
Ghost,Justin Bieber,176,174,16,66,2023-01-15
Blank Space,Taylor Swift,177,197,157,22,2023-01-15
After Like,IVE,178,172,20,17,2023-01-15
Wasted On You,Morgan Wallen,179,173,19,48,2023-01-15
Take On Me,a-ha,180,142,139,63,2023-01-15
Hotel California,Eagles,181,157,132,96,2023-01-15
In Da Club,50 Cent,182,139,44,40,2023-01-15
Something Just Like This,The Chainsmokers & Coldplay,183,-,102,99,2023-01-15
Space Song,Beach House,184,-,184,1,2023-01-15
Collide,Justine Skye Featuring Tyga,185,-,185,1,2023-01-15
Forget Me,Lewis Capaldi,186,-,48,14,2023-01-15
Don't Stop Believin',Journey,187,152,125,94,2023-01-15
Mr. Brightside,The Killers,188,141,115,70,2023-01-15
One Kiss,Calvin Harris & Dua Lipa,189,133,43,27,2023-01-15
Bohemian Rhapsody,Queen,190,184,97,112,2023-01-15
Vista Al Mar,Quevedo,191,196,114,13,2023-01-15
Say You Won't Let Go,James Arthur,192,-,96,75,2023-01-15
Superman,Eminem,193,-,193,1,2023-01-15
Yonaguni,Bad Bunny,194,79,3,73,2023-01-15
Heart Like A Truck,Lainey Wilson,195,198,195,2,2023-01-15
Wake Me Up!,Avicii,196,169,154,32,2023-01-15
Where Are You Now,Lost Frequencies & Calum Scott,197,164,22,61,2023-01-15
Locked Out Of Heaven,Bruno Mars,198,-,116,22,2023-01-15
Gatubela,Karol G x Maldy,199,166,23,18,2023-01-15
Thought You Should Know,Morgan Wallen,200,-,40,4,2023-01-15
Flowers,Miley Cyrus,1,-,1,1,2023-01-22
"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,2,12,2,2,2023-01-22
Kill Bill,SZA,3,1,1,6,2023-01-22
Calm Down,Rema & Selena Gomez,4,3,3,29,2023-01-22
Creepin',"Metro Boomin, The Weeknd & 21 Savage",5,6,3,7,2023-01-22
Unholy,Sam Smith & Kim Petras,6,2,1,17,2023-01-22
Escapism,RAYE Featuring 070 Shake,7,7,7,8,2023-01-22
I'm Good (Blue),David Guetta & Bebe Rexha,8,4,2,21,2023-01-22
Anti-Hero,Taylor Swift,9,5,1,13,2023-01-22
Ditto,NewJeans,10,9,8,5,2023-01-22
As It Was,Harry Styles,11,8,1,42,2023-01-22
Vibe,TAEYANG Featuring Jimin,12,-,12,1,2023-01-22
OMG,NewJeans,13,10,10,3,2023-01-22
La Jumpa,Arcangel & Bad Bunny,14,17,14,7,2023-01-22
La Bachata,Manuel Turizo,15,14,6,28,2023-01-22
Golden Hour,JVKE,16,18,16,21,2023-01-22
Bebe Dame,Fuerza Regida X Grupo Frontera,17,22,17,3,2023-01-22
I Ain't Worried,OneRepublic,18,15,5,33,2023-01-22
"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,19,23,1,28,2023-01-22
Until I Found You,Stephen Sanchez,20,11,11,36,2023-01-22
Another Love,Tom Odell,21,19,14,90,2023-01-22
Sure Thing,Miguel,22,28,22,5,2023-01-22
Rich Flex,Drake & 21 Savage,23,16,1,11,2023-01-22
Made You Look,Meghan Trainor,24,13,6,13,2023-01-22
Miss You,Oliver Tree & Robin Schulz,25,20,11,15,2023-01-22
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",26,29,8,7,2023-01-22
Under The Influence,Chris Brown,27,21,3,26,2023-01-22
Save Your Tears,The Weeknd & Ariana Grande,28,24,1,107,2023-01-22
Die For You,The Weeknd,29,27,27,46,2023-01-22
Hey Mor,Ozuna Featuring Feid,30,33,27,14,2023-01-22
Yandel 150,Yandel & Feid,31,83,31,2,2023-01-22
Bloody Mary,Lady Gaga,32,32,31,7,2023-01-22
Me Porto Bonito,Bad Bunny & Chencho Corleone,33,25,2,37,2023-01-22
Que Vuelvas,Carin Leon X Grupo Frontera,34,49,34,4,2023-01-22
Monotonia,Shakira + Ozuna,35,84,18,13,2023-01-22
Let Go,Central Cee,36,31,31,5,2023-01-22
Titi Me Pregunto,Bad Bunny,37,26,4,37,2023-01-22
Bad Habit,Steve Lacy,38,30,8,28,2023-01-22
Something In The Orange,Zach Bryan,39,35,23,38,2023-01-22
Heat Waves,Glass Animals,40,36,1,107,2023-01-22
Snooze,SZA,41,68,36,6,2023-01-22
Despecha,Rosalia,42,37,6,25,2023-01-22
Gato de Noche,Nengo Flow & Bad Bunny,43,38,28,4,2023-01-22
Nobody Gets Me,SZA,44,40,12,6,2023-01-22
Just Wanna Rock,Lil Uzi Vert,45,34,30,14,2023-01-22
Mockingbird,Eminem,46,42,42,14,2023-01-22
Cuff It,Beyonce,47,39,12,25,2023-01-22
Here With Me,d4vd,48,47,47,10,2023-01-22
Blinding Lights,The Weeknd,49,43,2,124,2023-01-22
Snap,Rosa Linn,50,41,18,28,2023-01-22
Leao,Marilia Mendonca,51,70,51,2,2023-01-22
Stay,The Kid LAROI & Justin Bieber,52,50,1,80,2023-01-22
Cold Heart (PNAU Remix),Elton John & Dua Lipa,53,48,3,75,2023-01-22
Sweater Weather,The Neighbourhood,54,46,25,121,2023-01-22
Low,SZA,55,59,24,6,2023-01-22
Kick Back,Kenshi Yonezu,56,44,13,15,2023-01-22
Lift Me Up,Rihanna,57,45,3,12,2023-01-22
Bones,Imagine Dragons,58,57,32,45,2023-01-22
Levitating,Dua Lipa,59,51,2,120,2023-01-22
Hype Boy,NewJeans,60,56,52,24,2023-01-22
Starboy,The Weeknd Featuring Daft Punk,61,58,52,81,2023-01-22
No Se Va,Grupo Frontera,62,63,31,17,2023-01-22
Shivers,Ed Sheeran,63,53,3,71,2023-01-22
Perfect,Ed Sheeran,64,61,30,124,2023-01-22
Ojitos Lindos,Bad Bunny & Bomba Estereo,65,52,4,37,2023-01-22
Shirt,SZA,66,54,18,12,2023-01-22
Shut Up My Moms Calling,Hotel Ugly,67,64,64,7,2023-01-22
Antifragile,LE SSERAFIM,68,55,38,14,2023-01-22
10:35,Tiesto Featuring Tate McRae,69,67,67,8,2023-01-22
Marisola,Cris Mj Featuring Standly,70,73,70,5,2023-01-22
AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",71,115,71,2,2023-01-22
Punto G,Quevedo,72,124,72,3,2023-01-22
Nonsense,Sabrina Carpenter,73,-,73,1,2023-01-22
Romantic Homicide,d4vd,74,62,35,20,2023-01-22
Efecto,Bad Bunny,75,60,7,37,2023-01-22
Fin de Semana,Junior H X Oscar Maydon,76,-,76,1,2023-01-22
Feliz Cumpleanos Ferxxo,Feid,77,65,61,20,2023-01-22
Bad Habits,Ed Sheeran,78,66,1,82,2023-01-22
Te Felicito,Shakira & Rauw Alejandro,79,-,11,33,2023-01-22
Someone You Loved,Lewis Capaldi,80,91,24,124,2023-01-22
I Wanna Be Yours,Arctic Monkeys,81,71,71,20,2023-01-22
How Do I Say Goodbye,Dean Lewis,82,87,82,16,2023-01-22
Unstoppable,Sia,83,81,81,49,2023-01-22
People,Libianca,84,-,84,1,2023-01-22
Glimpse Of Us,Joji,85,76,2,32,2023-01-22
Lavender Haze,Taylor Swift,86,74,2,13,2023-01-22
When I Was Your Man,Bruno Mars,87,127,87,17,2023-01-22
Easy On Me,Adele,88,88,1,67,2023-01-22
Sunroof,Nicky Youre & dazy,89,79,26,35,2023-01-22
The Color Violet,Tory Lanez,90,85,85,3,2023-01-22
Lovely,Billie Eilish & Khalid,91,103,70,124,2023-01-22
Rock And A Hard Place,Bailey Zimmerman,92,78,59,30,2023-01-22
Shallow,Lady Gaga & Bradley Cooper,93,107,59,121,2023-01-22
Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X,94,75,21,17,2023-01-22
Blind,SZA,95,77,19,6,2023-01-22
Moscow Mule,Bad Bunny,96,82,2,37,2023-01-22
Baby Shark,Pinkfong,97,95,38,123,2023-01-22
Subtitle,Official HIGE DANdism,98,69,29,14,2023-01-22
Provenza,Karol G,99,80,6,39,2023-01-22
Riptide,Vance Joy,100,114,100,71,2023-01-22
Believer,Imagine Dragons,101,97,52,124,2023-01-22
Que Agonia,Yuridia & Angela Aguilar,102,100,100,7,2023-01-22
Wait For U,Future Featuring Drake & Tems,103,89,2,38,2023-01-22
Jimmy Cooks,Drake Featuring 21 Savage,104,86,3,31,2023-01-22
Cairo,Karol G & Ovy On The Drums,105,119,89,9,2023-01-22
Hotel Lobby (Unc And Phew),Quavo & Takeoff,106,94,77,17,2023-01-22
Shape Of You,Ed Sheeran,107,98,55,124,2023-01-22
Shut Down,BLACKPINK,108,93,1,18,2023-01-22
Enemy,Imagine Dragons X JID,109,96,3,64,2023-01-22
Players,Coi Leray,110,149,110,2,2023-01-22
Neverita,Bad Bunny,111,90,16,37,2023-01-22
Without Me,Eminem,112,104,39,67,2023-01-22
About Damn Time,Lizzo,113,92,6,40,2023-01-22
Lokera,"Rauw Alejandro, Lyanno & Brray",114,72,55,23,2023-01-22
Chorrito Pa Las Animas,Feid,115,171,115,2,2023-01-22
Waka Waka (This Time For Africa),Shakira Featuring Freshlyground,116,174,87,9,2023-01-22
Metamorphosis,INTERWORLD,117,101,101,5,2023-01-22
Dandelions,Ruth B.,118,108,51,53,2023-01-22
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,119,113,41,124,2023-01-22
Viva La Vida,Coldplay,120,109,107,22,2023-01-22
Late Night Talking,Harry Styles,121,105,2,35,2023-01-22
I Like You (A Happier Song),Post Malone Featuring Doja Cat,122,99,7,33,2023-01-22
Spit In My Face!,ThxSoMch,123,131,123,3,2023-01-22
Party In The U.S.A.,Miley Cyrus,124,-,124,3,2023-01-22
Yellow,Coldplay,125,110,68,93,2023-01-22
abcdefu,GAYLE,126,140,1,59,2023-01-22
Pepas,Farruko,127,117,7,79,2023-01-22
Pink Venom,BLACKPINK,128,112,1,22,2023-01-22
Gangsta's Paradise,Coolio Featuring L.V.,129,118,21,79,2023-01-22
Punto 40,Rauw Alejandro & Baby Rasta,130,138,72,15,2023-01-22
Too Many Nights,Metro Boomin Featuring Don Toliver & Future,131,106,23,7,2023-01-22
You Proof,Morgan Wallen,132,102,22,36,2023-01-22
Take Me To Church,Hozier,133,134,123,95,2023-01-22
Bombonzinho,Israel & Rodolffo & Ana Castela,134,152,119,4,2023-01-22
No Role Modelz,J. Cole,135,122,97,80,2023-01-22
Summertime Sadness,Lana Del Rey vs. Cedric Gervais,136,120,89,24,2023-01-22
Happier Than Ever,Billie Eilish,137,133,6,76,2023-01-22
The Hills,The Weeknd,138,139,44,50,2023-01-22
Do I Wanna Know?,Arctic Monkeys,139,142,119,31,2023-01-22
Thank God,Kane Brown With Katelyn Brown,140,148,62,14,2023-01-22
Attention,NewJeans,141,135,54,13,2023-01-22
Shinunoga E-Wa,Fujii Kaze,142,128,118,15,2023-01-22
Super Freaky Girl,Nicki Minaj,143,116,5,23,2023-01-22
Counting Stars,OneRepublic,144,141,96,95,2023-01-22
Watermelon Sugar,Harry Styles,145,137,9,120,2023-01-22
Good Days,SZA,146,130,7,34,2023-01-22
Gatita,Bellakath,147,146,113,5,2023-01-22
Dance Monkey,Tones And I,148,156,16,119,2023-01-22
Ferrari,James Hype & Miggy Dela Rosa,149,129,25,28,2023-01-22
Collide,Justine Skye Featuring Tyga,150,185,150,2,2023-01-22
Call Out My Name,The Weeknd,151,144,97,28,2023-01-22
Dream On,Aerosmith,152,125,110,11,2023-01-22
Industry Baby,Lil Nas X & Jack Harlow,153,147,2,77,2023-01-22
Running Up That Hill (A Deal With God),Kate Bush,154,132,1,33,2023-01-22
Maan Meri Jaan,King,155,123,121,3,2023-01-22
The Real Slim Shady,Eminem,156,151,59,51,2023-01-22
505,Arctic Monkeys,157,136,94,45,2023-01-22
Everybody Wants To Rule The World,Tears For Fears,158,160,108,25,2023-01-22
Besos Moja2,Wisin & Yandel + Rosalia,159,170,102,14,2023-01-22
Sweet Child O' Mine,Guns N' Roses,160,153,57,89,2023-01-22
Hold Me Closer,Elton John & Britney Spears,161,126,6,19,2023-01-22
TV,Billie Eilish,162,157,25,6,2023-01-22
I'm Not The Only One,Sam Smith,163,150,94,18,2023-01-22
Don't Start Now,Dua Lipa,164,168,30,116,2023-01-22
Love Language,SZA,165,121,26,6,2023-01-22
Smells Like Teen Spirit,Nirvana,166,166,92,99,2023-01-22
Gimme,"Sam Smith, Koffee & Jessie Reyez",167,-,167,1,2023-01-22
I Was Never There,The Weeknd Featuring Gesaffelstein,168,158,119,22,2023-01-22
The Kind Of Love We Make,Luke Combs,169,159,38,27,2023-01-22
Playa del Ingles,Quevedo & Mike Towers,170,-,170,1,2023-01-22
Lose Yourself,Eminem,171,167,25,45,2023-01-22
Midnight Rain,Taylor Swift,172,143,5,12,2023-01-22
Dreamers (Music From The FIFA World Cup Qatar 2022),Jung Kook,173,155,9,9,2023-01-22
Sie Weib,AYLIVA Featuring Mero,174,-,174,1,2023-01-22
"Going, Going, Gone",Luke Combs,175,165,163,3,2023-01-22
Midnight Sky,Miley Cyrus,176,-,15,37,2023-01-22
Niagara Falls (Foot Or 2),"Metro Boomin, Travis Scott & 21 Savage",177,145,21,7,2023-01-22
Blank Space,Taylor Swift,178,177,157,23,2023-01-22
Say You Won't Let Go,James Arthur,179,192,96,76,2023-01-22
Circles,Post Malone,180,162,49,120,2023-01-22
Something Just Like This,The Chainsmokers & Coldplay,181,183,102,100,2023-01-22
Murder In My Mind,Kordhell,182,163,113,19,2023-01-22
Antidepresan,Mert Demir & Mabel Matiz,183,164,97,7,2023-01-22
Don't Stop Believin',Journey,184,187,125,95,2023-01-22
In Da Club,50 Cent,185,182,44,41,2023-01-22
Ghost,Justin Bieber,186,176,16,67,2023-01-22
Demons,Imagine Dragons,187,-,148,2,2023-01-22
Left And Right,Charlie Puth Featuring Jung Kook,188,175,5,27,2023-01-22
Billie Jean,Michael Jackson,189,-,137,36,2023-01-22
Hotel California,Eagles,190,181,132,97,2023-01-22
Take On Me,a-ha,191,180,139,64,2023-01-22
Mr. Brightside,The Killers,192,188,115,71,2023-01-22
Hips Don't Lie,Shakira Featuring Wyclef Jean,193,-,193,1,2023-01-22
Heart Like A Truck,Lainey Wilson,194,195,194,3,2023-01-22
Bohemian Rhapsody,Queen,195,190,97,113,2023-01-22
Bejeweled,Taylor Swift,196,154,8,12,2023-01-22
Wrecking Ball,Miley Cyrus,197,-,197,1,2023-01-22
Vista Al Mar,Quevedo,198,191,114,14,2023-01-22
Billete Grande,Fuerza Regida X Edgardo Nunez,199,-,199,1,2023-01-22
Wake Me Up!,Avicii,200,196,154,33,2023-01-22
Flowers,Miley Cyrus,1,1,1,2,2023-01-29
"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,2,2,2,3,2023-01-29
Kill Bill,SZA,3,3,1,7,2023-01-29
Calm Down,Rema & Selena Gomez,4,4,3,30,2023-01-29
Unholy,Sam Smith & Kim Petras,5,6,1,18,2023-01-29
Creepin',"Metro Boomin, The Weeknd & 21 Savage",6,5,3,8,2023-01-29
Escapism,RAYE Featuring 070 Shake,7,7,7,9,2023-01-29
I'm Good (Blue),David Guetta & Bebe Rexha,8,8,2,22,2023-01-29
Anti-Hero,Taylor Swift,9,9,1,14,2023-01-29
As It Was,Harry Styles,10,11,1,43,2023-01-29
Ditto,NewJeans,11,10,8,6,2023-01-29
OMG,NewJeans,12,13,10,4,2023-01-29
Golden Hour,JVKE,13,16,13,22,2023-01-29
La Bachata,Manuel Turizo,14,15,6,29,2023-01-29
Sure Thing,Miguel,15,22,15,6,2023-01-29
La Jumpa,Arcangel & Bad Bunny,16,14,14,8,2023-01-29
Until I Found You,Stephen Sanchez,17,20,11,37,2023-01-29
I Ain't Worried,OneRepublic,18,18,5,34,2023-01-29
Another Love,Tom Odell,19,21,14,91,2023-01-29
Made You Look,Meghan Trainor,20,24,6,14,2023-01-29
Bebe Dame,Fuerza Regida X Grupo Frontera,21,17,17,4,2023-01-29
Moonlight Sunrise,TWICE,22,-,22,1,2023-01-29
Rich Flex,Drake & 21 Savage,23,23,1,12,2023-01-29
"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,24,19,1,29,2023-01-29
Yandel 150,Yandel & Feid,25,31,25,3,2023-01-29
Miss You,Oliver Tree & Robin Schulz,26,25,11,16,2023-01-29
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",27,26,8,8,2023-01-29
Save Your Tears,The Weeknd & Ariana Grande,28,28,1,108,2023-01-29
Die For You,The Weeknd,29,29,27,47,2023-01-29
Hey Mor,Ozuna Featuring Feid,30,30,27,15,2023-01-29
Under The Influence,Chris Brown,31,27,3,27,2023-01-29
Snooze,SZA,32,41,32,7,2023-01-29
Bloody Mary,Lady Gaga,33,32,31,8,2023-01-29
Let Go,Central Cee,34,36,31,6,2023-01-29
Here With Me,d4vd,35,48,35,11,2023-01-29
Nonsense,Sabrina Carpenter,36,73,36,2,2023-01-29
Something In The Orange,Zach Bryan,37,39,23,39,2023-01-29
Que Vuelvas,Carin Leon X Grupo Frontera,38,34,34,5,2023-01-29
10:35,Tiesto Featuring Tate McRae,39,69,39,9,2023-01-29
Titi Me Pregunto,Bad Bunny,40,37,4,38,2023-01-29
Me Porto Bonito,Bad Bunny & Chencho Corleone,41,33,2,38,2023-01-29
Cuff It,Beyonce,42,47,12,26,2023-01-29
Bad Habit,Steve Lacy,43,38,8,29,2023-01-29
Just Wanna Rock,Lil Uzi Vert,44,45,30,15,2023-01-29
Heat Waves,Glass Animals,45,40,1,108,2023-01-29
Despecha,Rosalia,46,42,6,26,2023-01-29
Snap,Rosa Linn,47,50,18,29,2023-01-29
Mockingbird,Eminem,48,46,42,15,2023-01-29
Blinding Lights,The Weeknd,49,49,2,125,2023-01-29
AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",50,71,50,3,2023-01-29
Cold Heart (PNAU Remix),Elton John & Dua Lipa,51,53,3,76,2023-01-29
Bones,Imagine Dragons,52,58,32,46,2023-01-29
Nobody Gets Me,SZA,53,44,12,7,2023-01-29
Sweater Weather,The Neighbourhood,54,54,25,122,2023-01-29
Monotonia,Shakira + Ozuna,55,35,18,14,2023-01-29
Starboy,The Weeknd Featuring Daft Punk,56,61,52,82,2023-01-29
Low,SZA,57,55,24,7,2023-01-29
Gato de Noche,Nengo Flow & Bad Bunny,58,43,28,5,2023-01-29
Lift Me Up,Rihanna,59,57,3,13,2023-01-29
Stay,The Kid LAROI & Justin Bieber,60,52,1,81,2023-01-29
Leao,Marilia Mendonca,61,51,51,3,2023-01-29
Levitating,Dua Lipa,62,59,2,121,2023-01-29
Perfect,Ed Sheeran,63,64,30,125,2023-01-29
Hype Boy,NewJeans,64,60,52,25,2023-01-29
Shivers,Ed Sheeran,65,63,3,72,2023-01-29
Punto G,Quevedo,66,72,66,4,2023-01-29
Kick Back,Kenshi Yonezu,67,56,13,16,2023-01-29
Feliz Cumpleanos Ferxxo,Feid,68,77,61,21,2023-01-29
People,Libianca,69,84,69,2,2023-01-29
Players,Coi Leray,70,110,70,3,2023-01-29
Vibe,TAEYANG Featuring Jimin,71,12,12,2,2023-01-29
No Se Va,Grupo Frontera,72,62,31,18,2023-01-29
Ojitos Lindos,Bad Bunny & Bomba Estereo,73,65,4,38,2023-01-29
Romantic Homicide,d4vd,74,74,35,21,2023-01-29
Antifragile,LE SSERAFIM,75,68,38,15,2023-01-29
Shirt,SZA,76,66,18,13,2023-01-29
When I Was Your Man,Bruno Mars,77,87,77,18,2023-01-29
I Wanna Be Yours,Arctic Monkeys,78,81,71,21,2023-01-29
Fin de Semana,Junior H X Oscar Maydon,79,76,76,2,2023-01-29
Bad Habits,Ed Sheeran,80,78,1,83,2023-01-29
Marisola,Cris Mj Featuring Standly,81,70,70,6,2023-01-29
Lavender Haze,Taylor Swift,82,86,2,14,2023-01-29
Efecto,Bad Bunny,83,75,7,38,2023-01-29
Unstoppable,Sia,84,83,81,50,2023-01-29
Shut Up My Moms Calling,Hotel Ugly,85,67,64,8,2023-01-29
Someone You Loved,Lewis Capaldi,86,80,24,125,2023-01-29
The Color Violet,Tory Lanez,87,90,85,4,2023-01-29
Easy On Me,Adele,88,88,1,68,2023-01-29
