Title;Artist;Rank;Last Week;Peak Positon;Weeks on charts;Date;Genre;Producers;Writers;Distributor
Lavender Haze;Taylor Swift;41;24;2;6;2022-12-10;R&B, Pop, Funk-Pop, Electro-Pop, Electronic, Dream Pop, Alternative Pop, Singer-Songwriter;Sounwave, Jahaan Sweet, Jack Antonoff, Taylor Swift & Braxton Cook;Taylor Swift, Jack Antonoff, Zoë Kravitz, Sounwave, Jahaan Sweet & Sam Dew;Universal Music Group
Ojitos Lindos;Bad Bunny & Bomba Estereo;42;41;4;30;2022-12-10;Pop, Colombia, Reggaetón, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;Mvsis, Tainy & La Paciencia;Li Saumet, Simón Mejía (Bomba Estéreo) & Bad Bunny;The Orchard
Efecto;Bad Bunny;43;37;7;30;2022-12-10;Pop, Reggaetón, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;La Paciencia, Bass Charity & MAG;Bad Bunny;The Orchard
Mockingbird;Eminem;44;46;44;7;2022-12-10;Rap, Letter, Detroit, Hip-Hop, Conscious Hip-Hop, Piano, Lullaby;Luis Resto & Eminem;Eminem &;None
Subtitle;Official HIGE DANdism;45;29;29;7;2022-12-10;Pop, Genius Japan, Ballad, J-Pop, Japanese, Japan;藤原聡 (Satoshi Fujihara);藤原聡 (Satoshi Fujihara);None
The Christmas Song (Merry Christmas To You);Nat King Cole;46;115;16;14;2022-12-10;Pop, Holiday, Jazz, Christmas;Lee Gillette;Robert Wells & Mel Tormé;None
Something In The Orange;Zach Bryan;47;38;23;31;2022-12-10;Country;Ryan Hadlock;Zach Bryan;None
Midnight Rain;Taylor Swift;48;26;5;6;2022-12-10;Pop, Electronic Trap, Electro House, House, Electro-Pop, Electronic, Synth-Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Jack Antonoff & Taylor Swift;Universal Music Group
Sweater Weather;The Neighbourhood;49;52;25;114;2022-12-10;Pop, Rock, Alternative Pop, Alternative, Adult Contemporary, Adult Alternative, Pop-Rock, Alternative Rock;Emile Haynie & Justyn Pilbrow;Jeremy Freedman, Zach Abels &;None
White Christmas;Bing Crosby;50;148;24;14;2022-12-10;Pop, Christmas;None;Irving Berlin;None
Snowman;Sia;51;120;25;19;2022-12-10;Pop, TikTok, Ballad, Australia, Holiday;Greg Kurstin;Sia & Greg Kurstin;None
It's Beginning To Look Like Christmas;Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra;52;114;27;13;2022-12-10;Pop, Christmas;None;Meredith Willson;None
Antifragile;LE SSERAFIM;53;51;38;7;2022-12-10;Pop, Reggaetón, K-Pop (케이팝), Girl Group, South Korea, Genius Korea, Korean;13 (KOR);SCORE (13), Megatone (13), Paulina Cerrilla, “hitman” Bang, Shintaro Yasuda, Supreme Boi, Isabella Lovestory, Kyler Niko, Ronnie Icon, Nathalie Boone & danke (lalala studio);None
Mistletoe;Justin Bieber;54;135;19;15;2022-12-10;Pop, Holiday, Christmas, Canada;The Messengers;Justin Bieber, Adam Messinger & Nasri;None
Until I Found You;Stephen Sanchez;55;60;44;29;2022-12-10;Pop, Acoustic, Ballad, Singer-Songwriter, Bedroom Pop, Soft Rock, Alternative Pop, Alternative;Konrad Snyder & Ian Fitchuk;Stephen Sanchez;None
Stay;The Kid LAROI & Justin Bieber;56;61;1;73;2022-12-10;R&B, Pop, Pop Rap, Contemporary R&B, Duet, New Wave, Synth-Pop, Australia, Canada;Cashmere Cat, Blake Slatkin, Omer Fedi & Charlie Puth;Finatik, , , Omer Fedi, Cashmere Cat, Blake Slatkin, , Justin Bieber & The Kid LAROI;Sony Music Entertainment
Monotonia;Shakira + Ozuna;57;49;18;6;2022-12-10;Pop, Bachata, En Español, Puerto Rico, Latin Urban, Colombia, Latin Music, Latin Pop;Albert Hype, Ciey, KEITYN, Noise Up & Shakira;Shakira, Ozuna, Albert Hype, Ciey, KEITYN, Noise Up & Sergio Robledo;None
Cold Heart (PNAU Remix);Elton John & Dua Lipa;58;59;3;68;2022-12-10;Rap, Cloud Rap, Trap;Menoh;Menoh, KEELEY!, Landon Cube & Lil Skies;None
Blinding Lights;The Weeknd;59;69;2;117;2022-12-10;Pop, Nightcore, Dance-Pop, Electro-Pop, Synth-Pop, Synthwave;Oscar Holter, Max Martin & The Weeknd;The Weeknd, Oscar Holter, Max Martin, Belly & DaHeala;Universal Music Group
Bejeweled;Taylor Swift;60;32;8;6;2022-12-10;Pop, Bubblegum Pop, Nu Disco, Electro-Pop, Electronic, Synth-Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Jack Antonoff & Taylor Swift;Universal Music Group
Bones;Imagine Dragons;61;62;32;38;2022-12-10;Rock, Pop, Alternative Rock, Alternative Pop, Pop-Rock, Alternative;Mattman & Robin;Dan Reynolds, Wayne Sermon, , Daniel Platzman, Robin Fredriksson & Mattias Larsson;None
Christmas (Baby Please Come Home);Darlene Love;62;158;27;14;2022-12-10;Pop, Holiday, Christmas;None;Traditional;None
Do They Know It's Christmas?;Band Aid;63;194;20;13;2022-12-10;Rock, Pop, UK, Eighties, Charity, Holiday, Synth-Pop, New Wave, Christmas;Trevor Horn & Midge Ure;Midge Ure & Bob Geldof;None
Romantic Homicide;d4vd;64;65;35;13;2022-12-10;Rock, Pop, Bandlab, Indie Pop, Indie Rock, Indie, Pop-Rock, Alternative, Alternative Rock, Alternative Pop;Dan Darmawan;d4vd;Universal Music Group & DistroKid
Glimpse Of Us;Joji;65;63;2;25;2022-12-10;R&B, Pop, Soul Pop, Soul, Australia, Alternative R&B, Japan, Alternative Pop, Alternative, Adult Contemporary, Singer-Songwriter, Ballad, Piano;Connor McDonough;Riley McDonough, Joel Castillo, Connor McDonough, Idarose &;Warner Music Group
Levitating;Dua Lipa;66;68;2;113;2022-12-10;Rap, Pop, TikTok, Electro-Pop, Funk-Pop, Dance, Dance-Pop, Synth-Pop, Nu Disco, UK;Stuart Price & KOZ;Dua Lipa, Sarah Hudson, Clarence Coffee Jr. &;None
Moscow Mule;Bad Bunny;67;64;2;30;2022-12-10;Pop, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;Scotty Dittrich, Mick Coogan, La Paciencia & MAG;Bad Bunny;The Orchard
Shivers;Ed Sheeran;68;70;3;64;2022-12-10;Pop, UK Pop, Singer-Songwriter, Dance-Pop, UK;Ed Sheeran, Fred again.. & Steve Mac;Ed Sheeran, Kal Lavelle, Johnny McDaid & Steve Mac;Warner Music Group
No Se Va;Grupo Frontera;69;57;31;10;2022-12-10;Pop, En Español;None;None;None
Snow On The Beach;Taylor Swift Featuring Lana Del Rey;70;36;3;6;2022-12-10;Pop, Holiday, Ballad, Dream Pop, Alternative, Alternative Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Taylor Swift, Lana Del Rey & Jack Antonoff;Universal Music Group
Maroon;Taylor Swift;71;39;4;6;2022-12-10;Pop, Trap, Dream Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Taylor Swift & Jack Antonoff;Universal Music Group
Wonderful Christmastime;Paul McCartney;72;178;18;14;2022-12-10;Pop, UK Pop, Memes, New Wave, Synth-Pop, Seventies, UK, Singer-Songwriter, Pop-Rock, Christmas, Holiday;Paul McCartney;Paul McCartney;None
Jingle Bells;Frank Sinatra;73;169;42;12;2022-12-10;Pop, Holiday, Christmas;Voyle Gilmore;James Lord Pierpont;None
You're On Your Own, Kid;Taylor Swift;74;45;7;6;2022-12-10;Pop, Electro, Alternative Pop, Alternative, Electro-Pop, Electronic, Synth-Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Taylor Swift & Jack Antonoff;Universal Music Group
Shut Down;BLACKPINK;75;67;1;11;2022-12-10;Pop, K-Pop (케이팝), Modern Classical, Orchestral, Girl Group, South Korea, Genius Korea;Teddy Park & 24;Teddy Park, Danny Chung & Vince (KOR);None
Neverita;Bad Bunny;76;74;16;30;2022-12-10;Pop, House, Latin Trap, Trap, Latin Pop, Puerto Rico, En Español, Latin Urban, Latin Music;Cheo Legendary, La Paciencia & Tainy;Bad Bunny;The Orchard
Jimmy Cooks;Drake Featuring 21 Savage;77;72;3;24;2022-12-10;Rap, Pop Rap, Hardcore Hip-Hop, Outro, Atlanta Rap, Hip-Hop, Trap, Canada;Vinylz, Tay Keith, CuBeatz &;Drake, 21 Savage, Tay Keith, Vinylz, Kevin Gomringer, Tim Gomringer, Tizzle, Dougie F, Playa Fly, Harry Ray, Al Goodman & Walter Morris;Universal Music Group
Holly Jolly Christmas;Michael Buble;78;-;29;12;2022-12-10;Pop, Canada, Cover, Holiday, Christmas, Jazz;David Foster;Johnny Marks;None
Feliz Cumpleanos Ferxxo;Feid;79;79;61;13;2022-12-10;Pop, Reggaetón, Colombia, En Español, Latin Pop, Latin Urban, Latin Music;Jowan & Sky Rompiendo;Feid, Jowan, Rolo, Wain & Sky Rompiendo;Universal Music Group
Deck The Halls;Nat King Cole;80;-;73;10;2022-12-10;R&B, Pop, Cover, Traditional, Holiday, Jazz, Soul Jazz, Soul, Soul Pop, Christmas;Lee Gillette;Thomas Oliphant;None
Karma;Taylor Swift;81;47;10;6;2022-12-10;Pop, Techno, Alternative, Alternative Pop, New Wave, Electro, Electro-Pop, Electronic, Synth-Pop, Singer-Songwriter;Sounwave, Jack Antonoff, Keanu Beats, Taylor Swift & Jahaan Sweet;Taylor Swift, Jack Antonoff, Jahaan Sweet, Keanu Beats & Sounwave;Universal Music Group
Pussy & Millions;Drake & 21 Savage Featuring Travis Scott;82;50;6;4;2022-12-10;Rap, R&B, Pop Rap, Alternative R&B, Texas Rap, Trap, Atlanta Rap, Canada;Cheeze Beatz, Go Grizzly, Squat Beats & B100;Drake, 21 Savage, Travis Scott, Cheeze Beatz, Go Grizzly, Squat Beats, B100, Lil Yachty, Irvin Whitlow, Josiah Nasir Muhammad, Morris Jones & Dizzycleanface;Sony Music Entertainment, Epic Records & Universal Music Group
Perfect;Ed Sheeran;83;83;30;117;2022-12-10;Pop, UK Pop, Soft Rock, Acoustic, Orchestral, Easy Listening, Piano, Singer-Songwriter, Adult Contemporary, Ballad, UK;benny blanco, Ed Sheeran & Will Hicks;Ed Sheeran;None
Spin Bout U;Drake & 21 Savage;84;54;7;4;2022-12-10;R&B, Rap, Alternative R&B, Alternative, Trap, Atlanta Rap, Canada;BanBwoi, 40 & FortyOneSix;Drake, 21 Savage, BanBwoi, , Oobie & Dwayne Armstrong;Epic Records, Sony Music Entertainment & Universal Music Group
Major Distribution;Drake & 21 Savage;85;40;3;4;2022-12-10;Rap, Trap, Atlanta Rap, Canada;SkipOnDaBeat, Elijah Fox & Kid Masterpiece;Drake, , SkipOnDaBeat, Elijah Fox, Lil Yachty, & Kid Masterpiece;Universal Music Group, Sony Music Entertainment & Epic Records
On BS;Drake & 21 Savage;86;48;5;4;2022-12-10;Rap, Pop Rap, New Wave, Trap, Atlanta Rap, Canada;OZ & Elyas;Drake, 21 Savage, OZ, Elyas & Simon Gebrelul;Epic Records, Sony Music Entertainment & Universal Music Group
Waka Waka (This Time For Africa);Shakira Featuring Freshlyground;87;96;87;2;2022-12-10;Rap, Pop Rap, Atlanta Rap, DMV, Memes, Trap;Drumma Boy;Drumma Boy, Wale, Roscoe Dash & Waka Flocka Flame;None
Star Walkin' (League Of Legends Worlds Anthem);Lil Nas X;88;81;21;10;2022-12-10;Rap, Pop, Soundtrack, Synth-Pop, Atlanta Rap, Hip-Hop, Pop Rap, Trap, Anthem, Gaming, Drill;Cirkut & Omer Fedi;Lil Nas X, Omer Fedi, Cirkut & Ink;Sony Music Entertainment
Lokera;Rauw Alejandro, Lyanno & Brray;89;85;55;16;2022-12-10;Pop, Reggaetón, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;Caleb Calloway, Mr. Naisgai, Rauw Alejandro & Slow Jamz;Rauw Alejandro, Lyanno & Brray;Sony Music Latin & Duars Entertainment
Provenza;Karol G;90;88;6;32;2022-12-10;Pop, Afrobeats, Colombia, Latin Pop, Latin Urban, Latin Music, En Español;Ovy On The Drums;KEITYN, Ovy On The Drums & KAROL G;None
Starboy;The Weeknd Featuring Daft Punk;91;101;52;74;2022-12-10;Pop, R&B, Alternative Pop, Alternative, Piano, Dark Pop, Synth-Pop, Canada, Alternative R&B;Daft Punk, Cirkut, Doc McKinney & The Weeknd;Guy-Manuel de Homem-Christo, Thomas Bangalter, DaHeala, The Weeknd, Doc McKinney & Cirkut;None
Hotel Lobby (Unc And Phew);Quavo & Takeoff;92;77;77;10;2022-12-10;R&B, Rap, Hip-Hop, Freestyle, Canada;Noel Cadastre & Sevn Thomas;Drake, GIVĒON, Noel Cadastre, Sevn Thomas, Eminem, Jeff Bass & Steve King;Universal Music Group
Happy Xmas (War Is Over);John & Yoko/The Plastic Ono Band With The Harlem Community Choir;93;-;26;11;2022-12-10;Pop, Rock, Orchestral, Baroque Pop, Folk Pop, Brill Building, Pop-Rock, UK, Seventies, Singer-Songwriter, Protest Songs, Holiday, Christmas;Yoko Ono, John Lennon & Phil Spector;Yoko Ono & John Lennon;None
Blue Christmas;Elvis Presley;94;-;36;11;2022-12-10;R&B, Country, Rock, Holiday, Retro, Cover, Pop Country, Christmas;None;Jay W. Johnson & Billy Hayes;None
Die For You;Joji;95;71;34;4;2022-12-10;R&B, Pop, Electro, Electro-Pop, Dream Pop, Synth-Pop, Alternative Pop, Electronic, Ballad, Piano, Alternative;Jacob Ray, Wes Singerman & Tay Dex;Joji, Dewain Whitmore, Patrick “J. Que” Smith, Tay Dex, Jacob Ray & Wes Singerman;None
Punto 40;Rauw Alejandro & Baby Rasta;96;80;72;8;2022-12-10;Pop, Puerto Rico, Reggaetón, En Español, Latin Pop, Latin Urban, Latin Music;Mr. Naisgai, Rauw Alejandro, Kenobi Sensei & Playero;Rauw Alejandro, Baby Rasta & Playero;None
Bad Habits;Ed Sheeran;97;92;1;75;2022-12-10;Pop, Synth-Pop, House, Singer-Songwriter, Dance-Pop, UK;Ed Sheeran, Fred again.. & Johnny McDaid;Ed Sheeran, Fred again.. & Johnny McDaid;None
Pink Venom;BLACKPINK;98;86;1;15;2022-12-10;Pop, Korean, Hip-Hop, K-Pop (케이팝), Girl Group, South Korea, Genius Korea;Teddy Park, 24, R.Tee & IDO (KOR);Teddy Park, , R.Tee, Danny Chung & IDO (KOR);None
Shirt;SZA;99;78;18;5;2022-12-10;R&B, Plugg, Trap, Pop Rap, Alternative, Contemporary R&B, Alternative R&B;Rodney Jerkins & Freaky Rob;SZA, Rodney Jerkins & Freaky Rob;Sony Music Entertainment
Super Freaky Girl;Nicki Minaj;100;73;5;16;2022-12-10;Rap, Pop, TikTok, Electro-Pop, Dance, Clash, Trap, Electronic, East Coast, Electronic Trap, Dance-Pop, Trinidad & Tobago;Dr. Luke, Malibu Babie, Vaughn Oliver & Aaron Joseph;Alonzo Miller, Rick James, Nicki Minaj, Dr. Luke, Aaron Joseph, Lauren Miller, LunchMoney Lewis & Vaughn Oliver;Universal Music Group
Cairo;Karol G & Ovy On The Drums;101;89;89;2;2022-12-10;Pop, Dance, Moombahton, Dancehall, Colombia, En Español, Latin Pop, Latin Urban, Latin Music;Ovy On The Drums;KAROL G, Ovy On The Drums & KEITYN;None
I Wanna Be Yours;Arctic Monkeys;102;98;73;13;2022-12-10;Rock, Psychedelic Soul, Poetry, Adult Alternative, British Rock, Psychedelic Rock, UK, Indie Rock, Alternative Rock;Ross Orton & James Ford;John Cooper Clarke & Arctic Monkeys;None
Circo Loco;Drake & 21 Savage;103;56;8;4;2022-12-10;Rap, Diss Track, Hip-Hop, Trap, Atlanta Rap, Canada;Boi-1da, Tay Keith & 40;Drake, 21 Savage, Boi-1da, Tay Keith, 40, Lil Yachty, Guy-Manuel de Homem-Christo, Thomas Bangalter & Romanthony;Sony Music Entertainment, Epic Records & Universal Music Group
Late Night Talking;Harry Styles;104;100;2;28;2022-12-10;R&B, Pop, Synth-Pop, Funk-Pop, Dance, Dance-Pop, UK;Tyler Johnson & Kid Harpoon;Harry Styles & Kid Harpoon;Sony Music Entertainment
Here With Me;d4vd;105;136;105;3;2022-12-10;Pop, Alternative Pop, Folk, Indie;Blueday & Dan Darmawan;d4vd;None
Enemy;Imagine Dragons X JID;106;104;3;57;2022-12-10;Rock, Rap, Pop, TV, Alternative Pop, Alternative, Gaming, Memes, Rap-Rock, Alternative Rock, Pop Rap, Pop-Rock, Soundtrack;Mattman & Robin;Dan Reynolds, Wayne Sermon, Ben McKee, Daniel Platzman, Robin Fredriksson, Mattias Larsson, Justin Tranter &;None
How Do I Say Goodbye;Dean Lewis;107;91;89;9;2022-12-10;Pop, Australia;Ed Holloway, Nick Atkinson, Jon Hume & Dean Lewis;Jon Hume & Dean Lewis;None
I Like You (A Happier Song);Post Malone Featuring Doja Cat;108;97;7;26;2022-12-10;Rap, Soundtrack, Broadway, History, Musicals;Lin-Manuel Miranda, ?uestlove, Black Thought, Bill Sherman & Alex Lacamoire;Lin-Manuel Miranda, Richard Rodgers, Oscar Hammerstein II, Havoc, Prodigy of Mobb Deep, The Notorious B.I.G., Easy Mo Bee & Roger Troutman;None
Santa Claus Is Comin' To Town;Jackson 5;109;-;44;11;2022-12-10;R&B, Pop, Cover, Holiday, Seventies, Motown, Funk, Soul, Soul Pop, Christmas;Hal Davis;Haven Gillespie & J. Fred Coots;None
Merry Christmas Everyone;Shakin' Stevens;110;-;40;11;2022-12-10;Pop, Pop-Rock, UK Pop, Eighties, Wales, UK, Holiday, Christmas;Dave Edmunds;Bob Heatlie;None
Sunroof;Nicky Youre & dazy;111;95;26;28;2022-12-10;Rock, Pop, Bedroom Pop, Pop-Rock, Alternative Rock, Alternative Pop, Indie, Alternative;Dazy;Nicky Youre;None
Left And Right;Charlie Puth Featuring Jung Kook;112;93;5;23;2022-12-10;Pop, Synth-Pop, K-Pop (케이팝), K-Solo, South Korea, Genius Korea;Charlie Puth;Jacob Kasher & Charlie Puth;None
Wait For U;Future Featuring Drake & Tems;113;111;2;31;2022-12-10;Pop, R&B, Rap, Boom Bap, Contemporary R&B, Trap, Hip-Hop, Pop-R&B, Pop Rap, Nigeria, Canada, Atlanta Rap;ATL Jacob, FNZ, , Sonic Major &;Future, Drake, Tems, 1SRAEL, ATL Jacob, Finatik, Zac, Sonic Major, Tejiri & A1;Sony Music Entertainment
Hold Me Closer;Elton John & Britney Spears;114;90;6;14;2022-12-10;Pop, Singer-Songwriter, Alternative Pop, Alternative Dance, Alternative, Electro, Electronica, Electro-Pop, Electronic, Dance, Mashup, Nu Disco, Dance-Pop, UK, Remix;watt & Cirkut;Elton John, Bernie Taupin, watt & Cirkut;None
Escapism;RAYE Featuring 070 Shake;115;-;115;1;2022-12-10;Rap, Pop, Trip-Hop, Alternative Pop, Pop Rap, UK Rap, UK Pop, UK;Mike Sabath;RAYE, 070 Shake & Mike Sabath;None
About Damn Time;Lizzo;116;108;6;33;2022-12-10;Rap, R&B, Pop, Pop Rap, Hip-Hop, Pop-R&B, Dance, Funk, Nu Disco, Funk-Pop, Dance-Pop;Blake Slatkin & Ricky Reed;Blake Slatkin, Theron Thomas, Ricky Reed, Malcolm McLaren, JazzyJust, Larry Price, Stephen Hague &;None
Running Up That Hill (A Deal With God);Kate Bush;117;113;1;27;2022-12-10;Pop, Progressive Pop, Soundtrack, Memes, UK Pop, Netflix, TV, Avant Garde, Adult Contemporary, Singer-Songwriter, Alternative Pop, Alternative, Avant-Pop, Eighties, UK, Synth-Pop, New Wave, Art Pop;Kate Bush;Kate Bush;None
Unstoppable;Sia;118;118;83;42;2022-12-10;Pop, Electronic, Electro-Pop, New Wave, Australia;Jesse Shatkin;Chris Braide & Sia;None
Easy On Me;Adele;119;109;1;60;2022-12-10;Pop, Adult Contemporary, Blue-Eyed Soul, Singer-Songwriter, Soul, Ballad, UK, Piano;Greg Kurstin;Greg Kurstin & Adele;Sony Music Entertainment
Dream On;Aerosmith;120;110;110;4;2022-12-10;Rock, Piano, Album-Oriented Rock (AOR), Singer-Songwriter, Blues Rock, Seventies, Ballad, Hard Rock;Adrian Barber;Steven Tyler;None
Baby Shark;Pinkfong;121;130;38;116;2022-12-10;Pop, Dance-Pop, Dance, Memes, Children's Music;Pinkfong (핑크퐁);Robin Davies & Shawnee Lamb;None
Besos Moja2;Wisin & Yandel + Rosalia;122;112;102;9;2022-12-10;Pop, Spanish Pop, Spanish Urban, Spanish Music, Reggaetón, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;Los Legendarios, Luny Tunes & Noah Goldstein;Wisin, Yandel, ROSALÍA, Rafy Legendario, Marc Legendario, Luny & Tunes;None
Santa Baby;Eartha Kitt With Henri Rene And His Orchestra;123;-;53;11;2022-12-10;Pop, Easy Listening, Retro, Soundtrack, Holiday, Jazz, Christmas;Henri René;Tony Springer, Philip Springer & Joan Javits;None
Rudolph The Red-Nosed Reindeer;Gene Autry;124;-;54;11;2022-12-10;Country, Children's Music, Retro, Christmas;Art Satherly;Johnny Marks;None
Bzrp Music Sessions, Vol. 50;Bizarrap & Duki;125;33;33;3;2022-12-10;Rap, Trap, Latin Trap, Latin Rap, Argentina, Latin Urban, Latin Music, En Español;Bizarrap;Duki, Bizarrap & Santiago Alvarado;The Orchard
Someone You Loved;Lewis Capaldi;126;122;24;117;2022-12-10;Pop, Soul Pop, UK Pop, Adult Contemporary, Adult Alternative, Singer-Songwriter, Ballad, Piano, UK;TMS;Ben Kohn, , Pete Kelleher, & Tom Barnes;None
Driving Home For Christmas;Chris Rea;127;-;27;11;2022-12-10;Pop, Pop-Rock, Piano, Christmas, Eighties, UK;Stuart Eales & Chris Rea;Chris Rea;None
Believer;Imagine Dragons;128;119;52;117;2022-12-10;Pop, Rock, Synth Rock, Anthem, Adult Alternative, Alternative, Alternative Pop, Alternative Rock, Alternative R&B, Synth-Pop, Album-Oriented Rock (AOR), Pop-Rock;Mattman & Robin;Dan Reynolds, Wayne Sermon, Ben McKee, Daniel Platzman, Robin Fredriksson, Mattias Larsson & Justin Tranter;None
Yellow;Coldplay;129;121;68;86;2022-12-10;Rock, Pop-Rock, British Rock, Post-Britpop, Ballad, Adult Alternative, Adult Contemporary, UK, Alternative Rock, Alternative;Ken Nelson & Coldplay;Guy Berryman, Jonny Buckland, & Chris Martin;None
Vigilante Shit;Taylor Swift;130;75;9;6;2022-12-10;Pop, Electro-Industrial, Industrial, Electronic, Electro-Pop, Synth-Pop, Dark Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Taylor Swift;Universal Music Group
Without Me;Eminem;131;126;39;60;2022-12-10;Rap, Comedy, Memes, Soundtrack, Hip-Hop, Hardcore Hip-Hop, Satire;Jeff Bass, DJ Head & Eminem;Eminem, , Shawn Baumgardner, Urban Kris, , Trevor Horn, Anne Dudley & Malcolm McLaren;Universal Music Group
Merry Christmas;Ed Sheeran & Elton John;132;-;15;5;2022-12-10;Pop, Charity, Singer-Songwriter, UK, Holiday, Christmas;Steve Mac;Elton John & Ed Sheeran;None
Hallelujah;Pentatonix;133;-;55;11;2022-12-10;Pop, Cover, A Cappella, Christmas;Ben Bram & Pentatonix;Leonard Cohen;None
Dandelions;Ruth B.;134;132;51;46;2022-12-10;Pop, Canada, Trap, Alternative Pop, Alternative R&B, Ballad;Joel Little;Ruth B.;None
Gatubela;Karol G x Maldy;135;116;23;14;2022-12-10;Pop, Latin Music, Puerto Rico, Latin Urban, Colombia, En Español, Reggaetón, Latin Pop;Ovy On The Drums;KAROL G, Maldy, Justin Quiles, DJ Maff & Lenny Tavárez;None
Hype Boy;NewJeans;136;140;52;17;2022-12-10;Pop, Dance-Pop, Future Bass, K-Pop (케이팝), Korean, South Korea, Genius Korea, Girl Group;250;Hanni (NewJeans), Ylva Dimberg & Gigi (KOR);None
Run Rudolph Run;Chuck Berry;137;-;22;12;2022-12-10;Rock, Holiday, Christmas;Phil Chess & Leonard Chess;Marvin Brodie & Johnny Marks;None
Gangsta's Paradise;Coolio Featuring L.V.;138;125;21;72;2022-12-10;Pop, Rap, Soul Rap, Pop Rap, West Coast, Nineties, Soundtrack, Hardcore Hip-Hop, Soul, Gangsta Rap, Conscious Hip-Hop;Doug Rasheed;Coolio, L.V. (South Central Cartel), Stevie Wonder & Doug Rasheed;Reservoir Media
You Proof;Morgan Wallen;139;117;22;29;2022-12-10;R&B, Country, Singer-Songwriter, Honky Tonk, Alternative R&B, Synth-Pop, Trap, Pop Country;Charlie Handsome & Joey Moi;Ashley Gorley, ERNEST, Keith Smith, Morgan Wallen & Charlie Handsome;None
Question...?;Taylor Swift;140;84;11;6;2022-12-10;Pop, Industrial, Electro-Pop, Electronic, Singer-Songwriter, Synth-Pop;Jack Antonoff & Taylor Swift;Taylor Swift & Jack Antonoff;Universal Music Group
Lovely;Billie Eilish & Khalid;141;134;70;117;2022-12-10;Pop, TikTok, Chamber Pop, Baroque Pop, Chamber Music, Alternative Pop, Soul, Ballad;FINNEAS;FINNEAS, & Khalid;None
Here Comes Santa Claus (Right Down Santa Claus Lane);Gene Autry;142;-;78;8;2022-12-10;Country, Pop, Retro, Singer-Songwriter, Holiday, Christmas;Oakley Haldeman;Gene Autry & Oakley Haldeman;None
Happier Than Ever;Billie Eilish;143;142;6;70;2022-12-10;Pop, TikTok, Pop-Punk, Neo Soul, Soul, Alternative Pop, Pop-Rock, Grunge, Noise Pop;FINNEAS;Billie Eilish & FINNEAS;Universal Music Group
Forget Me;Lewis Capaldi;144;128;48;12;2022-12-10;Pop, Synth-Pop, Adult Alternative, Piano, Alternative Pop, UK Pop, Singer-Songwriter, Scotland, UK;Chris Bishop, Lewis Capaldi & TMS;Ben Kohn, Blair Gormal, Lewis Capaldi, Michael Pollack, Pete Kelleher, Plested, TMS & Tom Barnes;None
Little Saint Nick;The Beach Boys;145;-;53;11;2022-12-10;Pop, Christmas;Brian Wilson;Mike Love & Brian Wilson;None
Pepas;Farruko;146;144;7;72;2022-12-10;Pop, Guaracha, Electro House, Electronica, Electro, Electro-Pop, En Español, Puerto Rico, Latin Pop, Latin Urban, Latin Music;Sharo Towers, Ghetto, IAmChino, K4G & Víctor Cárdenas;IAmChino, Juan Manuel Gomez, Ghetto, White Star, K4G, Sharo Towers, Víctor Cárdenas, Frank Miami & Farruko;None
Shape Of You;Ed Sheeran;147;137;55;117;2022-12-10;Pop, UK Pop, Dance-Pop, Electro, Electro-Pop, Dancehall, Synth-Pop, Dance, Singer-Songwriter, Tropical House, UK;Steve Mac;Steve Mac, Tameka “Tiny” Harris, , Kevin “She’kspere” Briggs, & Johnny McDaid;None
Industry Baby;Lil Nas X & Jack Harlow;148;145;2;71;2022-12-10;Pop, Rap, Pop Rap, Hip-Hop, Atlanta Rap, Trap;Drew Sliger, Roy Lenzo, Ojivolta, Nick Lee, Kanye West & Take a Daytrip;Roy Lenzo, Mark Williams, Raul Cubina, Kanye West, , David Biral, Denzel Baptiste, Jack Harlow & Lil Nas X;Sony Music Entertainment
Viva La Vida;Coldplay;149;138;114;15;2022-12-10;Pop, Rock, Rock Pop, UK Pop, Chamber Pop, Alternative Pop, Alternative, Alternative Rock, Classical Crossover, Art Pop, Art Rock, Singer-Songwriter, Orchestral, Adult Alternative, Adult Contemporary, Pop-Rock, Chamber Music, Baroque Pop, British Rock, Soundtrack, UK;Brian Eno, Markus Dravs & Rik Simpson;Chris Martin, Guy Berryman, Jonny Buckland & Will Champion;None
Sunflower (Spider-Man: Into The Spider-Verse);Post Malone & Swae Lee;150;139;41;117;2022-12-10;Rap, Pop, R&B, Alternative, Pop Rap, Alternative Pop, Synth-Pop, Alternative R&B, Marvel, Soundtrack;Carter Lang & Louis Bell;Post Malone, Carl Rosen, Carter Lang, Swae Lee, & Billy Walsh;None
