Title;Artist;Genre;Producers;Writers;Distributor
My Only Wish (This Year);Britney Spears;R&B, Duet, Alternative R&B, Future Bass, Canada;Jamie xx &;Drake, 40, Jamie xx & Anthony Palman;None
Kill Bill;SZA;Pop, Alternative R&B, Alternative Pop, Psychedelic, Bedroom Pop, Trip-Hop;Carter Lang & Rob Bisel;SZA, Rob Bisel & Carter Lang;Sony Music Entertainment
Nobody Gets Me;SZA;Pop, Alternative Pop, Adult Contemporary, Contemporary Folk, Folk Pop, Singer-Songwriter, Folk, Ballad;benny blanco & Carter Lang;SZA, Rob Bisel, Carter Lang, Robin Weisse & benny blanco;Sony Music Entertainment
Blind;SZA;Pop, Pop Rap, Neo Soul, Art Pop, Folk, Contemporary Folk, Chamber Folk;Rob Bisel, Carter Lang, Yuli & Will Miller;SZA, Rob Bisel, Carter Lang, Yuli & Will Miller;Sony Music Entertainment
Low;SZA;R&B, Rap, Dark Trap, Dark Ambient, Contemporary R&B, Pop Rap, Trap;Aire Atlantica, Alessandro Buccellati & Rob Bisel;SZA, Jozzy, Rob Bisel, Alessandro Buccellati, Aire Atlantica & Travis Scott;Sony Music Entertainment
Love Language;SZA;R&B, Alternative R&B, Contemporary R&B;ThankGod4Cody, Yakob, Carter Lang & The Neptunes;SZA, Carter Lang, ThankGod4Cody, Yakob, Pharrell Williams, Chad Hugo, Ty Dolla $ign, Rob Bisel, Ant Clemons & Jazzaé De Waal;Sony Music Entertainment
Seek & Destroy;SZA;R&B, Psychedelic, Trip-Hop, Bedroom Pop, Pop-R&B, Alternative Pop, Neo-Psychedelia, Alternative R&B;Carter Lang, Rob Bisel, Scum & ThankGod4Cody;SZA, Rob Bisel, ThankGod4Cody, Carter Lang & The Antydote;Sony Music Entertainment
Used;SZA Featuring Don Toliver;Rap, R&B, Soul Rap, Hip-Hop, Soul, Neo Soul, Pop Rap, Alternative, Alternative R&B, Trip-Hop;DJ Dahi, John Hill, Danny McKinnon, Ely Rise & John Key;SZA, DJ Dahi, Don Toliver, John Hill, John Key, Danny McKinnon & Ely Rise;Sony Music Entertainment
Snooze;SZA;Pop, R&B, Neo Soul, Pop-R&B, Alternative Pop, Alternative, Contemporary R&B, Trip-Hop;Babyface, Khristopher Riddick-Tynes, Leon Thomas III & BLK Beats;SZA, Babyface, Khristopher Riddick-Tynes, Leon Thomas III & BLK Beats;Sony Music Entertainment
SOS;SZA;R&B, Intro, Alternative, Electro-Soul, Alternative R&B, Chipmunk Soul;Jay Versace;SZA, Jay Versace, Gabriel Samuel Harderman & Rob Bisel;Sony Music Entertainment
Special;SZA;Pop, Teen Pop, Folk Pop, Pop-R&B;benny blanco, Shellback, Omer Fedi & Blake Slatkin;SZA, benny blanco, Shellback, Rob Bisel, Blake Slatkin & Omer Fedi;Sony Music Entertainment
Ghost In The Machine;SZA Featuring Phoebe Bridgers;R&B, Trip-Hop, Art Pop, Pop-R&B, Alternative Pop, Contemporary R&B, Alternative R&B, Alternative;Carter Lang, & Matt Cohn;SZA, Rob Bisel, Carter Lang, Marshall Vore, Matt Cohn & Phoebe Bridgers;Sony Music Entertainment
Gone Girl;SZA;Pop, R&B, Neo Soul, Soul, Soul Pop, Contemporary R&B, Ballad;Carter Lang, Emile Haynie, Jeff Bhasker, Rob Bisel & ThankGod4Cody;SZA, Carter Lang, ThankGod4Cody, Rob Bisel, Jeff Bhasker & Emile Haynie;Sony Music Entertainment
Notice Me;SZA;Rap, R&B, Bubblegum Bass, Pop Rap, Pop-R&B, Alternative Pop, Trap;Carter Lang, ThankGod4Cody, Michael Uzowuru, Teo Halm & Rob Bisel;SZA, Michael Uzowuru, Teo Halm, Carter Lang & ThankGod4Cody;Sony Music Entertainment
Open Arms;SZA Featuring Travis Scott;Pop, R&B, Downtempo, Pop Rap, Contemporary R&B, Pop-R&B, Alternative, Alternative Pop, Soul, Neo Soul;Michael Uzowuru, Rob Bisel & Teo Halm;SZA, Rob Bisel, Michael Uzowuru, Teo Halm, Travis Scott & Dougie F;Sony Music Entertainment
F2F;SZA;Pop, Rock, Alternative, Alternative Rock, Pop-Rock, Pop-Punk;Carter Lang & Rob Bisel;SZA, Rob Bisel, Carter Lang &;Sony Music Entertainment
Smoking On My Ex Pack;SZA;Rap, R&B, Singer-Songwriter, Hip-Hop, Contemporary R&B, Pop Rap, Chipmunk Soul, Interlude;Jay Versace;SZA, Jay Versace, Skip Scarborough & Raina Taylor;Sony Music Entertainment
Good Days;SZA;R&B, Art Pop, Downtempo, Contemporary R&B, Alternative, Dream Pop, Neo-Psychedelia, Psychedelic Soul, Soul, Neo Soul, Alternative R&B;Los Hendrix, Nascent & Carter Lang;SZA, Los Hendrix, Nascent, & Jacob Collier;Sony Music Entertainment
Conceited;SZA;Rap, Bubblegum Bass, Alternative R&B, Trap;ThankGod4Cody;SZA, ThankGod4Cody & Rob Bisel;Sony Music Entertainment
I Hate U;SZA;R&B, Trip-Hop, Alternative, Alternative R&B;Sir Dylan, ThankGod4Cody, Rob Bisel & Carter Lang;SZA, Sir Dylan, Rob Bisel, Carter Lang & ThankGod4Cody;Sony Music Entertainment
Too Late;SZA;Pop, R&B, Bounce, Trap, Contemporary R&B;Carter Lang, Rob Bisel, Still Woozy, ThankGod4Cody & Sammy Witte;SZA, Carter Lang, Rob Bisel, ThankGod4Cody, Sammy Witte & Still Woozy;Sony Music Entertainment
Far;SZA;R&B, Trip-Hop, Trap, Hip-Hop, Lo-Fi, Contemporary R&B, Alternative, Alternative R&B, Soul, Neo Soul;Beat Butcha, Carter Lang, Los Hendrix, Rob Bisel & Scum;SZA, Carter Lang, Rob Bisel, The Antydote, Los Hendrix & Elliot Dubock;Sony Music Entertainment
First Love;Utada Hikaru;Pop, Genius Japan, Japanese, Japan, J-Pop;三宅彰 (Akira Miyake) & 宇多田照實 (Teruzane Utada);宇多田ヒカル (Hikaru Utada);None
Gatita;Bellakath;Pop, Reggaetón, México, Latin Urban, Latin Pop, Latin Music, En Español;Alexito Mix;Bellakath;Disetti
Happy Holiday/The Holiday Season;Andy Williams;Pop, Christmas;Robert Mersey;Kay Thompson & Irving Berlin;None
I'll Be Home For Christmas;Michael Buble;Pop, Canada, Christmas, Jazz;David Foster;Buck Ram, Walter Kent & Kim Gannon;None
Forgiveless;SZA Featuring Ol' Dirty Bastard;Rap, East Coast, Pop Rap, Hip-Hop, Boom Bap, Trip-Hop;Rodney Jerkins;SZA, Ol’ Dirty Bastard, Mark Bell, Guy Sigsworth, Björk & Rodney Jerkins;Sony Music Entertainment
Winter Wonderland;Darlene Love;Pop;Phil Spector;Dick Smith & Felix Bernard;None
Merry Christmas, Happy Holidays;'N Sync;Pop, Holiday, Nineties, Christmas, Boy Band;Veit Renn;Vincent DeGiorgio, Justin Timberlake, J.C. Chasez & Veit Renn;None
Mele Kalikimaka (Merry Christmas);Bing Crosby & The Andrews Sisters;Pop, Retro, Holiday, Christmas;Bing Crosby;R. Alex Anderson;None
Let Go;Central Cee;Rap, Emo Rap, UK Drill, Drill, UK Rap, UK;Nastylgia & KwolleM;Central Cee, Nastylgia & KwolleM;Warner Music Group
Ditto;NewJeans;Pop, Alternative Dance, Minimal Techno, K-Pop (케이팝), Girl Group, South Korea, Genius Korea, Korean;250;Ylva Dimberg, 조휴일 (Cho Hyuil), OOHYO (우효), Minji (NewJeans) & 250;None
Marisola;Cris Mj Featuring Standly;Pop, Remix, Argentina, Chile, En Español, Reggaetón, Latin Pop, Latin Urban, Latin Music;Moustache & Magicenelbeat;Cris Mj, Duki, NICKI NICOLE & Standly;Universal Music Group
What Christmas Means To Me;Stevie Wonder;R&B, Rock, Holiday, Christmas, Motown;Johnny Bristol & Harvey Fuqua;Marvin Gaye, Allen Story & George Gordy;None
Christmas Lights;Coldplay;Rock, Piano Rock, British Rock, UK, Piano, Alternative, Alternative Rock, Christmas, Ballad;Markus Dravs, Daniel Green, Coldplay, Rik Simpson & Brian Eno;Chris Martin, Will Champion, Jonny Buckland & Guy Berryman;None
Face 2 Face;Juice WRLD;Rap, Mental Health, Emo Pop, Alternative R&B, Pop Rap, Acoustic, Emo, Emo Trap, Emo Rap, Trap, Chicago Rap;Charlie Handsome, Rex Kudo & Joe Reeves;Juice WRLD, Rex Kudo, Charlie Handsome & Joe Reeves;Universal Music Group
Sure Thing;Miguel;R&B, TikTok, Alternative R&B, Soul, Soul Pop;Happy Perez;Happy Perez, Miguel & Jawan Pimentel;None
Nothing Is Lost (You Give Me Strength);The Weeknd;Pop, R&B, Alternative R&B, Synth-Pop, Soundtrack, Canada;Swedish House Mafia & Simon Franglen;The Weeknd, Axwell, Sebastian Ingrosso, Steve Angello & Simon Franglen;Universal Music Group
One More Sleep;Leona Lewis;Pop, UK Pop, UK, Christmas;Richard “Biff” Stannard & Ash Howes;Bradford Ellis, Jez Ashurst, Iain James, Richard “Biff” Stannard & Leona Lewis;None
Christmas (Baby Please Come Home);Mariah Carey;Pop, Holiday, Christmas;None;Traditional;None
I Saw Mommy Kissing Santa Claus;Jackson 5;R&B, Pop, Cover, Funk, Soul Pop, Seventies, Motown, Christmas;The Corporation;Tommie Connor;None
Linus And Lucy (Peanuts Theme);Vince Guaraldi Trio;Rap, Hardcore Hip-Hop, Trip-Hop, Soundtrack, Gangsta Rap;DJ Shadow;El-P, Killer Mike & DJ Shadow;None
Have Yourself A Merry Little Christmas;Sam Smith;R&B, Pop, Cover, Britpop, UK R&B, UK, Holiday, Christmas;Sam Smith, Steve Fitzmaurice, Brendan Grieves & Reuben James;Hugh Martin & Ralph Blane;None
Here Comes Santa Claus (Right Down Santa Claus Lane);Elvis Presley;Country, Pop, Retro, Singer-Songwriter, Holiday, Christmas;Oakley Haldeman;Gene Autry & Oakley Haldeman;None
Someday At Christmas;Stevie Wonder;R&B, Sixties, Soul, Protest Songs, Motown, Christmas;Henry “Hank” Cosby;Ronald Miller & Bryan Wells;None
Winter Wonderland;Bing Crosby;Pop, Holiday, Christmas, Cover;None;Dick Smith & Felix Bernard;None
What Christmas Means To Me;John Legend Featuring Stevie Wonder;R&B, Pop, Holiday, Christmas, Cover, Soul, Soul Pop;Raphael Saadiq;Allen Story, George Gordy & Anna Gordy Gaye;None
Candy;NCT DREAM;Pop, K-Pop (케이팝), Holiday, Christmas, Boy Band, South Korea, Genius Korea;KENZIE (KOR);장용진 (Jang Yong Jin);None
Metamorphosis;INTERWORLD;Rap, Drift Phonk, Memphis, Phonk;INTERWORLD;DJ live wire, Lay Low (Memphis) & Underground Sam;None
Gato de Noche;Nengo Flow & Bad Bunny;Pop, Reggaetón, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;Smash David, Foreign Teck & Bass Charity;Bad Bunny & Ñengo Flow;The Orchard
Jingle Bell Rock;Daryl Hall John Oates;Rock, Cover, Christmas;John Oates, Daryl Hall & Bob Clearmountain;Joe Beal & Jim Boothe;None
Santa Claus Is Coming To Town;Frank Sinatra;Non-Music, Christmas, List;None;None;None
Bombonzinho;Israel & Rodolffo & Ana Castela;Country, Spanish Music, Banda, En Español;None;Geovani Cabrera Inzunza / Horacio Palencia Cisneros;None
Santa Claus Is Coming To Town;Michael Buble;Pop, Canada, Christmas, Holiday, Jazz;David Foster;Haven Gillespie & J. Fred Coots;None
I Wish It Could Be Christmas Everyday;Wizzard;Rock, Pop-Rock, Seventies, British Rock, UK, Christmas, Glam Rock;Roy Wood;Roy Wood;None
Christmas (Baby Please Come Home);Michael Buble;Pop, Holiday, Christmas;None;Traditional;None
Christmas Without You;Ava Max;Pop, Holiday, Christmas;Gian Stone & Cirkut;Cirkut, Ava Max, Jesse Aicher, Gian Stone & Sam Martin;None
Santa Baby;Kylie Minogue;Pop, Australia, Christmas, Cover;Steve Anderson [Brothers In Rhythm];Tony Springer, Philip Springer & Joan Javits;None
Rudolph The Red-Nosed Reindeer;Burl Ives;Pop, Christmas;Milt Gabler;Johnny Marks;None
Carol Of The Bells;John Williams;Pop, Holiday, Christmas;None;Peter Wilhousky;None
Merry Christmas Everybody;Slade;Rock;John Goodmanson;Jim Lea & Noddy Holder;None
Joy To The World;Nat King Cole;R&B, Pop, Traditional, Cover, Holiday, Christmas, Jazz, Soul Jazz, Soul Pop, Soul;Lee Gillette;Isaac Watts & Lowell Mason;None
Thank God It's Christmas;Queen;Rock, British Rock, UK, Eighties, Synth Rock, Pop-Rock, Christmas;Reinhold Mack & Queen;Brian May & Roger Taylor;None
OMG;NewJeans;Pop, K-Pop (케이팝), Korean, Genius Korea, South Korea, Girl Group;Jinsu Park;Jinsu Park, Gigi (KOR), Ylva Dimberg, Hanni (NewJeans) & Dawood;None
Bebe Dame;Fuerza Regida X Grupo Frontera;Pop, Cumbia;None;JOP & Miguel Armenta;None
Maan Meri Jaan;King;Pop, Genius India;Saurabh Lokhande;King;None
The Color Violet;Tory Lanez;Pop, R&B, Canada;Roark Bailey, Nik Dean & Foreign Teck;Nik Dean, Foreign Teck & Tory Lanez;Create Music Group
Punto G;Quevedo;Pop, Reggaetón, Spanish Urban, Spanish Pop, Spanish Music, En Español;BlueFire;Quevedo;None
Going, Going, Gone;Luke Combs;Country;Chip Matthews & Jonathan Singleton;Ray Fulcher & James McNair;None
Wake Me Up!;Avicii;Pop, Folk Pop, Folk, Progressive House, Folktronica, Scandipop, Dance-Pop, Dance, Scandinavia, Sverige, Adult Alternative, Adult Contemporary;Avicii;Mike Einziger, Avicii & Aloe Blacc;None
I Gotta Feeling;The Black Eyed Peas;Non-Music, Meta;None;None;None
Habit;SEKAI NO OWARI;Pop, Genius Japan, J-Pop, Japanese, Japan;中島真一 (Nakashima Shinichi);Fukase;None
Spit In My Face!;ThxSoMch;Rock, Canada, Post-Punk Revival, Post-Punk, Indie Rock;grayskies;Carter De Filippis;Sparta Distribution
I Wanna Dance With Somebody (Who Loves Me);Whitney Houston & P2J;Pop, R&B, Eighties, Soul Pop, Adult Contemporary, Synth-Pop, Dance;Narada Michael Walden;Shannon Rubicam & George Merrill;None
Livin' On A Prayer;Bon Jovi;Rock, Album-Oriented Rock (AOR), Ballad, Eighties, Glam Metal, Hard Rock, Glam Rock;Bruce Fairbairn;Desmond Child, Richie Sambora &;None
Heart Like A Truck;Lainey Wilson;Country, Singer-Songwriter;Jay Joyce;Trannie Anderson, Lainey Wilson & Dallas Wilson;None
Bzrp Music Sessions, Vol. 53;Bizarrap & Shakira;Pop, Deep House, Synth-Pop, Latin Urban, Latin Pop, Latin Music, En Español, Colombia, Argentina;Bizarrap;Shakira, KEITYN, Santiago Alvarado & Bizarrap;The Orchard
Leao;Marilia Mendonca;Pop, Brega, Brasil, Em Português;Júnior Campi;Xamã;None
Yandel 150;Yandel & Feid;Pop, Puerto Rico, Reggaetón, Colombia, En Español, Latin Pop, Latin Urban, Latin Music;Jowan, Rolo & Wain;Feid, Yandel, Fantakuka, Rolo, Jowan & Wain;The Orchard & Sony Music Latin
Pointless;Lewis Capaldi;Pop, Piano, UK, Scotland, Singer-Songwriter, Alternative Pop, UK Pop;Steve Mac;Ed Sheeran, Johnny McDaid, Lewis Capaldi & Steve Mac;None
AMG;Gabito Ballesteros, Peso Pluma & Natanael Cano;Rap, En Español, Latin Urban, Latin Music, Regional Mexicano, México;Roberto Laija;Peso Pluma, Natanael Cano & Gabito Ballesteros;Warner Music Latina
Players;Coi Leray;Rap, New Wave, Nu Disco;Johnny Goldstein;Coi Leray, Johnny Goldstein, Worldwide Fresh & Feli Ferraro;Universal Music Group
Rumble;Skrillex, Fred again.. & Flowdan;Rap, Pop, Dance, Electronic Trap, EDM, UK Rap, Dubstep, Trap, UK, Electronic;Skrillex & Fred again..;Skrillex, Fred again.., Flowdan, Elley Duhé, BEAM & Jordan Douglas;Atlantic Records
Chorrito Pa Las Animas;Feid;Pop, Reggaetón, Latin Pop, Colombia, En Español, Latin Urban, Latin Music;Sky Rompiendo;Feid, Sky Rompiendo & Wain;None
Space Song;Beach House;Rock, Pop, Slowcore, Alternative Pop, Alternative, Alternative Rock, Indie Pop, Indie Rock, Indie, Dream Pop;Beach House & Chris Coady;Victoria Legrand & Alex Scally;None
Collide;Justine Skye Featuring Tyga;R&B, Rap;Mustard & J.LBS;Justine Skye, Tyga, TC & Elijah Blake;Stem
Say You Won't Let Go;James Arthur;R&B, Pop, UK Pop, UK R&B, Alternative R&B, Adult Contemporary, Easy Listening, Acoustic, Singer-Songwriter, Ballad, UK;Alex Beitzke, Bradley Spence & Steve Solomon;James Arthur, Neil Ormandy & Steve Solomon;None
Superman;Eminem;Rap, Comedy, Detroit, Porncore, Hardcore Hip-Hop, Hip-Hop;Jeff Bass &;Eminem, Jeff Bass & Steve King;Universal Music Group
Locked Out Of Heaven;Bruno Mars;Pop, Rock, Reggae, New Wave, Funk, Pop-Rock, Reggae Rock;Mark Ronson, Emile Haynie, Jeff Bhasker & The Smeezingtons;Jeff Bhasker, , Bruno Mars & The Smeezingtons;None
Thought You Should Know;Morgan Wallen;Country, Singer-Songwriter, Ballad, Acoustic;Joey Moi;Nicolle Galyon, Miranda Lambert & Morgan Wallen;None
Flowers;Miley Cyrus;Pop, Funk-Pop, Dance Rock, Pop-Rock, Nu Disco, Dance-Pop, Dance;Kid Harpoon & Tyler Johnson;Miley Cyrus, Aldae & Michael Pollack;None
Vibe;TAEYANG Featuring Jimin;R&B, K-R&B, Genius Korea, Korean, K-Solo, South Korea;24, KUSH (쿠시) & Teddy Park;TAEYANG (태양), Vince (KOR), KUSH (쿠시), Jimin (지민), 24 & Teddy Park;YG PLUS & Interscope Records
Nonsense;Sabrina Carpenter;R&B, Pop, Alternative R&B, Bubblegum Pop, Teen Pop, Trap, Singer-Songwriter;Julian Bunetta;Steph Jones, Julian Bunetta & Sabrina Carpenter;None
Fin de Semana;Junior H X Oscar Maydon;Pop, Regional Mexicano, Corrido;None;Alexis Armando Fierro Román;None
People;Libianca;Pop, Afrosoul, Afrobeats;None;None;None
Party In The U.S.A.;Miley Cyrus;Pop, Pop-Rock, Bubblegum Pop, Teen Pop;Dr. Luke;Jessie J, Dr. Luke & Claude Kelly;None
Playa del Ingles;Quevedo & Mike Towers;Pop, Soul Pop, New Wave, Dancehall, Contemporary R&B, Island Music, Pop-R&B, Alternative R&B, Jamaica, Canada, UK Pop, UK;Sam Smith, Jimmy Napes, StarGate & Anju Blaxx;Sam Smith, Jimmy Napes, Mikkel Storleer Eriksen, Tor Erik Hermansen, Jessie Reyez & Koffee;None
Sie Weib;AYLIVA Featuring Mero;Pop, Afrobeats, Latin Music, Spanish Music, Latin Pop, Spanish Pop, En Español, Puerto Rico, Spanish Urban, Latin Urban;Ovy On The Drums;Quevedo & Myke Towers;None
Midnight Sky;Miley Cyrus;Rock, Pop, Alternative Pop, Alternative, New Wave, Dance-Pop, Dance, Synthwave, Synth-Pop, Pop-Rock, Alternative Rock, LGBTQ+, Electro-Pop, Nu Disco;Louis Bell & watt;Miley Cyrus, Jon Bellion, , Ali Tamposi, & Louis Bell;Sony Music Entertainment
Demons;Imagine Dragons;Pop, Rock, Trip-Hop, Adult Contemporary, Soft Rock, Memes, Mental Health, Ballad, Adult Alternative, Alternative Pop, Alternative Rock, Pop-Rock, Alternative;Alex da Kid;Dan Reynolds, Wayne Sermon, , Josh Mosser & Alex da Kid;None
Hips Don't Lie;Shakira Featuring Wyclef Jean;R&B, Pop, Reggaetón, Dance-Pop, Dance, Cumbia, Latin Music, Colombia, Salsa, Latin Pop;Jerry Duplessis, Shakira & Wyclef Jean;Jerry Duplessis, LaTavia Parker, Omar Alfanno, Shakira & Wyclef Jean;None
Wrecking Ball;Miley Cyrus;Pop, Melodic Dubstep, Dubstep, Chamber Pop, Orchestral, Adult Contemporary, Ballad;Cirkut & Dr. Luke;David Kim, , , Stephan Moccio, & Sacha Skarbek;Sony Music Entertainment
Billete Grande;Fuerza Regida X Edgardo Nunez;Pop, Corrido;Jimmy Humilde & JOP;Khrys Ramos, JOP, Angel Ureta & Cristian Primera;None
Moonlight Sunrise;TWICE;Pop, Dance-Pop, K-Pop (케이팝), Girl Group, South Korea, Genius Korea;earattack & 이우현 (Lee Woo Hyeon);earattack, Nina Ann Nelson, Kaedi Dalley & 이우현 (Lee Woo Hyeon);Dreamus, Republic Records & Universal Music Group
Knight Crawler;Trippie Redd & Juice WRLD;Rock, Rap, Hardcore Hip-Hop, Dark Trap, Rap-Rock, Trap Metal, East Coast, Chicago Rap, Trap;CBMIX;CBMIX, Trippie Redd & Juice WRLD;Universal Music Group
Komet;Udo Lindenberg & Apache 207;Pop, Rock, Rap, Deutschsprachiger Pop, Deutschland, Deutschsprachiger Rock, Deutschsprachiger Rap;JUMPA & Sira (DEU);Apache 207, Udo Lindenberg, Chris James, Takt32, JUMPA & Sira (DEU);None
Set Fire To The Rain;Adele;Pop, Pop-Rock, UK Pop, UK, Piano, Orchestral, Adult Contemporary, Soul Pop, Singer-Songwriter, Ballad;Fraser T. Smith;Fraser T. Smith &;None
Heart To Heart;Mac DeMarco;Rock, Alternative, Alternative Rock, Indie, Indie Rock;Mac DeMarco;Mac DeMarco;None
Rush;Ayra Starr;Pop, New Wave, Nigeria, Afrobeats;Andrevibez & Hoops (Producer);Ayra Starr;None
In The End;Linkin Park;Rap, Rock, Hard Rock, Alternative Metal, Rap Metal, Metal, Alternative, Alternative Rock, Rap-Rock, Nu-Metal;Don Gilmore;Mr. Hahn, Rob Bourdon, Mike Shinoda, Chester Bennington & Brad Delson;None
Love Again;The Kid LAROI;Rock, Pop, Australia, Pop-Rock;Cirkut & Omer Fedi;Billy Walsh, The Kid LAROI, Cirkut & Omer Fedi;Columbia Records & Sony Music Entertainment
Sugar Rush Ride;TOMORROW X TOGETHER;Pop, K-Pop (케이팝), Korean, Boy Band, South Korea, Genius Korea;Slow Rabbit;Slow Rabbit, Sofia Kay, Supreme Boi, Cazzi Opeia, “hitman” Bang, salem ilese, Krysta Youngs, Ollipop & Myah Marie;None
I'm Not Here To Make Friends;Sam Smith;Pop, Dance-Pop, Synth-Pop, Funk, Nu Disco, UK Pop, UK;Sam Smith, StarGate & Calvin Harris;Sam Smith, Mikkel Storleer Eriksen, Tor Erik Hermansen & Calvin Harris;None
LLYLM;Rosalia;Pop, En Español, Spanish Pop, Spanish Music, Flamenco;Noah Goldstein, Sir Dylan, David Rodríguez, ROSALÍA & Daniel Aged;ROSALÍA, David Rodríguez, Sir Dylan, Daniel Aged, Noah Goldstein & Shellback;Columbia Records
Last Night;Morgan Wallen;Country, Ballad;Joey Moi;John Byron, Ashley Gorley, Jacob Kasher & Charlie Handsome;Universal Music Group
PRC;Peso Pluma X Natanael Cano;Rap, Latin Urban, Latin Music, En Español, Corrido, Regional Mexicano, México;Roberto Laija, Iván Leal & George Prajin;Peso Pluma, Natanael Cano & Roberto Laija;None
Dawns;Zach Bryan Featuring Maggie Rogers;Rock, Americana, Folk Rock, Singer-Songwriter, Alternative Rock, Alternative Country;Eddie Spear & Zach Bryan;Zach Bryan & Maggie Rogers;Warner Records
Hey, Mickey!;Yung Baby Tate;Rap, TikTok, Atlanta Rap;Dead Head;Baby Tate;None
Trustfall;P!nk;Pop, Dance-Pop, Electro House, Electro-Pop;Fred again.. & Johnny McDaid;P!nk, Johnny McDaid & Fred again..;None
Those Eyes;New West;Pop, Soul Pop, British Rock;New West;New West;None
Growin' Up And Gettin' Old;Luke Combs;Country;Chip Matthews & Jonathan Singleton;Rob Snyder & Channing Wilson;None
Boy's A Liar, Pt. 2;PinkPantheress & Ice Spice;Rap, Pop, UK, Chiptune, Remix, Dance-Pop, Alternative Dance, UK Pop, Alternative Pop;Mura Masa & PinkPantheress;PinkPantheress, Ice Spice & Mura Masa;Warner Records & Warner Music Group
X Si Volvemos;Karol G x Romeo Santos;Pop, Reggaetón, Colombia, En Español, Latin Pop, Latin Urban, Latin Music;Ovy On The Drums;KAROL G, Ovy On The Drums & Romeo Santos;None
Zona de Perigo;Leo Santana;Pop, Brasil, Pagode Baiano, Em Português;David Mattos & Fella Brown;Adriel Max, Fella Brown, Lukinhas, Pierrot Junior, Rafa Chagas & Yvees;None
I Wrote The Book;Morgan Wallen;Country, Singer-Songwriter;Joey Moi;Cameron Montgomery, HARDY & Morgan Wallen;None
Everything I Love;Morgan Wallen;Country, Singer-Songwriter;Joey Moi;Morgan Wallen, Ashley Gorley, ERNEST & Charlie Handsome;None
Watch The World Burn;Falling In Reverse;Rock, Rap Metal, Metal, Metalcore, Hip-Hop;MYTH & Ronnie Radke;Ronnie Radke, Cody Quistad, Tyler Burgess, Christian Thompson & MYTH;None
Someone Like You;Adele;Pop, Singer-Songwriter, Soul Pop, Adult Contemporary, Ballad, Piano;Adele & Dan Wilson;Dan Wilson &;None
Ch y La Pizza;Fuerza Regida X Natanael Cano;Pop, Latin Music, Corrido, En Español, Regional Mexicano;None;Brandon Daniel Candia Nunez & Miguel Armenta;None
Love On The Brain;Rihanna;R&B, Pop, Psychedelic Soul, Brill Building, Contemporary R&B, Blues, Adult Alternative, Adult Contemporary, Ballad, Soul Pop, Dark Pop, Doo-Wop;Fred Ball;Joseph Angel, Fred Ball &;Universal Music Group & Def Jam Recordings
Rolling In The Deep;Adele;R&B, Blue-Eyed Soul, Soul Pop, Ballad, Singer-Songwriter, Adult Contemporary;Paul Epworth;Paul Epworth &;None
Mercho;Lil CaKe & Migrantes Featuring Nico Valdi;Pop, Latin Pop, RKT, Latin Urban, Reggaetón, Latin Music, En Español, Argentina;Nico Valdi;LiL CaKe, Migrantes & Nico Valdi;Sony Music Argentina
Just The Way You Are;Bruno Mars;R&B, Pop, Alternative R&B, Piano, Ballad, Adult Contemporary, Soul Pop, Soul;Needlz & The Smeezingtons;Philip Lawrence, Ari Levine, Needlz, Saint Cassius, The Smeezingtons & Bruno Mars;None
