Title;Artist;Genre;Producers;Writers;Distributor
I Wanna Be Yours;Arctic Monkeys;Rock, Psychedelic Soul, Poetry, Adult Alternative, British Rock, Psychedelic Rock, UK, Indie Rock, Alternative Rock;Ross Orton & James Ford;John Cooper Clarke & Arctic Monkeys;None
Rock And A Hard Place;Bailey Zimmerman;Country, Singer-Songwriter;Austin Shawn;Heath Warren, Jacob Hackworth & Jet Harvey;None
Where Are You Now;Lost Frequencies & Calum Scott;Pop, Tropical House, UK, België/Belgique, EDM, Dance-Pop, Dance;Lost Frequencies;Joacim Persson, Dag Lundberg, Sebastian Arman, Michael Patrick Kelly & Lost Frequencies;None
Murder In My Mind;Kordhell;Rap, Drift Phonk, Electro House, House, Electronic, EDM, Phonk;Kordhell;Kordhell;The Orchard
Betty (Get Money);Yung Gravy;Country, Ballad, Alternative Country, Alternative Rock, Folk Rock, Folk, Alternative Pop, Alternative, Americana, Pop Country, Singer-Songwriter;Joe Alwyn, Aaron Dessner, Jack Antonoff & Taylor Swift;Joe Alwyn & Taylor Swift;None
Don't You Worry;Black Eyed Peas, Shakira + David Guetta;Pop, Dance-Pop, Dance, EDM, Latin Pop, Latin Music, Electro, Electronica, Electro-Pop, Electronic, Colombia, France;will.i.am, David Guetta, Johnny Goldstein, Mike Hawkins & Toby Green;David Guetta, Toby Green, Mike Hawkins, Johnny Goldstein, Taboo, apl.de.ap, Shakira & will.i.am;Universal Music Group & Sony Music Entertainment
Evergreen;Omar Apollo;R&B, UK R&B, Alternative Pop, Indie Pop;Teo Halm and Manuel Barajas;Paul Williams;None
Middle Of The Night;Elley Duhe;Pop, Electro-Pop;Andrew Wells;RØMANS, Elley Duhé & Andrew Wells;None
I Was Never There;The Weeknd Featuring Gesaffelstein;Pop, R&B, Future Garage, Electro-Pop, Alternative R&B;Ging & Gesaffelstein;Ging, Gesaffelstein & The Weeknd;None
MAMIII;Becky G X Karol G;Pop, Reggaetón, México, Latin Pop, Latin Urban, En Español, Colombia, Latin Music;Ovy On The Drums;Justin Quiles, Daniel Uribe, Daniel Echevarria, Ovy On The Drums, ELENA ROSE, Becky G. & KAROL G;Sony Music Entertainment
Staying Alive;DJ Khaled Featuring Drake & Lil Baby;Rap, Atlanta Rap, Canada, Trap;Nyan & Tim Suby;DJ Khaled, Drake, Lil Baby, Nyan, Tim Suby, Barry Gibb, Maurice Gibb & Robin Gibb;None
Something Just Like This;The Chainsmokers & Coldplay;Rock, Pop, Rock Pop, UK Pop, Electro, Dance Rock, Dance-Pop, British Rock, Electronic Rock, Piano Rock, Pop-Rock, Piano, EDM, Adult Contemporary, Future Bass, UK, Electro-Pop, Electronic, Dance;The Chainsmokers;Will Champion, Guy Berryman, Jonny Buckland, Andrew Taggart & Chris Martin;None
Dance Monkey;Tones And I;Pop, Dance-Pop, Australia;Konstantin Kersting;Tones and I;None
La Cancion;J Balvin & Bad Bunny;Pop, Latin Pop, Dancehall, Reggaetón, Puerto Rico, Colombia, En Español, Latin Music, Latin Urban;Nicael;;Universal Music Group
Dynamite;BTS;Pop, K-Pop (케이팝), South Korea, Nu Disco, Boy Band, Genius Korea;David Stewart;Jessica Agombar & David Stewart;None
Do I Wanna Know?;Arctic Monkeys;Rock, Pop-Rock, Psychedelic, Alternative Pop, Blues, Adult Alternative, Alternative, Indie, Alternative Rock, Psychedelic Rock, British Rock, UK, Soundtrack, Blues Rock, Indie Rock;Ross Orton & James Ford;Alex Turner;None
Shallow;Lady Gaga & Bradley Cooper;Rock, Duet, Piano Rock, Piano, Folk Rock, Ballad, Musicals, Soundtrack;Benjamin Rice & Lady Gaga;Andrew Wyatt, Anthony Rossomando, Mark Ronson & Lady Gaga;Universal Music Group
The Hills;The Weeknd;Pop, R&B, Alternative, Alternative Pop, Canada, Synth-Pop, Synthwave, Dark Pop, Trap, Alternative R&B;Mano & Illangelo;Thomas Raybould, Belly, , Mano &;None
Love Nwantiti (Ah Ah Ah);CKay;Pop, Lo-Fi, Pop-R&B, TikTok, African Languages, Afrika, Nigerian Pidgin, Nigeria, Afrobeats;CKay & Tempoe;CKay;Warner Music Group
Everybody Wants To Rule The World;Tears For Fears;Rock, Pop, Progressive Pop, Pop-Rock, British Rock, UK, Soundtrack, Synth Rock, Synth-Pop, Singer-Songwriter, Eighties, New Wave;Chris Hughes;Chris Hughes, & Roland Orzabal;None
Desesperados;Rauw Alejandro & Chencho Corleone;Pop, Reggaetón, Latin Pop, Puerto Rico, En Español, Latin Urban, Latin Music;Mr. Naisgai, Dímelo Ninow, Dulce Como Candy & Rauw Alejandro;Dímelo Ninow, Colla Sensei, Kenobi Sensei, Dulce Como Candy, Mr. Naisgai, Eric Duars, Rauw Alejandro & Chencho Corleone;Sony Music Latin
